year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,222,Tunisia,EFConsPerCap,,,,,,,0.703412683049789
1961,222,Tunisia,BiocapPerCap,,,,,,,1.29558306188917
1962,222,Tunisia,EFConsPerCap,,,,,,,0.707571809390799
1962,222,Tunisia,BiocapPerCap,,,,,,,1.40030385303979
1963,222,Tunisia,EFConsPerCap,,,,,,,0.768423878901254
1963,222,Tunisia,BiocapPerCap,,,,,,,1.349530987666
1964,222,Tunisia,EFConsPerCap,,,,,,,0.666477459382311
1964,222,Tunisia,BiocapPerCap,,,,,,,1.30992219131481
1965,222,Tunisia,EFConsPerCap,,,,,,,0.804258769931927
1965,222,Tunisia,BiocapPerCap,,,,,,,1.4021011169901
1966,222,Tunisia,EFConsPerCap,,,,,,,0.68751538786315
1966,222,Tunisia,BiocapPerCap,,,,,,,1.34909708190669
1967,222,Tunisia,EFConsPerCap,,,,,,,0.87053619021326
1967,222,Tunisia,BiocapPerCap,,,,,,,1.23778031068573
1968,222,Tunisia,EFConsPerCap,,,,,,,0.773610584981349
1968,222,Tunisia,BiocapPerCap,,,,,,,1.22607803063277
1969,222,Tunisia,EFConsPerCap,,,,,,,0.935327211911405
1969,222,Tunisia,BiocapPerCap,,,,,,,1.25230419705306
1970,222,Tunisia,EFConsPerCap,,,,,,,0.843849673453771
1970,222,Tunisia,BiocapPerCap,,,,,,,1.12533301867032
1971,222,Tunisia,EFConsPerCap,,,,,,,0.928152647597601
1971,222,Tunisia,BiocapPerCap,,,,,,,1.23772976248113
1972,222,Tunisia,EFConsPerCap,,,,,,,0.570596923084057
1972,222,Tunisia,BiocapPerCap,,,,,,,1.1872165999377
1973,222,Tunisia,EFConsPerCap,,,,,,,0.93567571133867
1973,222,Tunisia,BiocapPerCap,,,,,,,1.19817036981793
1974,222,Tunisia,EFConsPerCap,,,,,,,0.896972315466957
1974,222,Tunisia,BiocapPerCap,,,,,,,1.1538653740032
1975,222,Tunisia,EFConsPerCap,,,,,,,1.25984969222941
1975,222,Tunisia,BiocapPerCap,,,,,,,1.21874876421408
1976,222,Tunisia,EFConsPerCap,,,,,,,0.885093949221631
1976,222,Tunisia,BiocapPerCap,,,,,,,1.06404421108207
1977,222,Tunisia,EFConsPerCap,,,,,,,1.17348182224572
1977,222,Tunisia,BiocapPerCap,,,,,,,1.05671682378518
1978,222,Tunisia,EFConsPerCap,,,,,,,0.932736802543242
1978,222,Tunisia,BiocapPerCap,,,,,,,0.972926718227344
1979,222,Tunisia,EFConsPerCap,,,,,,,1.07844194187495
1979,222,Tunisia,BiocapPerCap,,,,,,,0.953264879047111
1980,222,Tunisia,EFConsPerCap,,,,,,,1.36316061105526
1980,222,Tunisia,BiocapPerCap,,,,,,,1.04018676588025
1981,222,Tunisia,EFConsPerCap,,,,,,,1.19449501316415
1981,222,Tunisia,BiocapPerCap,,,,,,,1.02993616882862
1982,222,Tunisia,EFConsPerCap,,,,,,,1.01809736723709
1982,222,Tunisia,BiocapPerCap,,,,,,,0.983413226258158
1983,222,Tunisia,EFConsPerCap,,,,,,,1.36050170173519
1983,222,Tunisia,BiocapPerCap,,,,,,,0.949852517682758
1984,222,Tunisia,EFConsPerCap,,,,,,,1.26644859030283
1984,222,Tunisia,BiocapPerCap,,,,,,,0.907513611542288
1985,222,Tunisia,EFConsPerCap,,,,,,,1.49030264002739
1985,222,Tunisia,BiocapPerCap,,,,,,,1.05693257749077
1986,222,Tunisia,EFConsPerCap,,,,,,,1.4015242357958
1986,222,Tunisia,BiocapPerCap,,,,,,,0.942034876952346
1987,222,Tunisia,EFConsPerCap,,,,,,,1.32802164827754
1987,222,Tunisia,BiocapPerCap,,,,,,,0.987071551226818
1988,222,Tunisia,EFConsPerCap,,,,,,,1.17954872041923
1988,222,Tunisia,BiocapPerCap,,,,,,,0.785113649744534
1989,222,Tunisia,EFConsPerCap,,,,,,,1.44552045282247
1989,222,Tunisia,BiocapPerCap,,,,,,,0.852741308974367
1990,222,Tunisia,EFConsPerCap,,,,,,,1.71966652087755
1990,222,Tunisia,BiocapPerCap,,,,,,,1.00935994863208
1991,222,Tunisia,EFConsPerCap,,,,,,,1.52458518561447
1991,222,Tunisia,BiocapPerCap,,,,,,,1.11441497777169
1992,222,Tunisia,EFConsPerCap,,,,,,,1.41103615430554
1992,222,Tunisia,BiocapPerCap,,,,,,,1.00397315027663
1993,222,Tunisia,EFConsPerCap,,,,,,,1.45440188079808
1993,222,Tunisia,BiocapPerCap,,,,,,,0.990582627218822
1994,222,Tunisia,EFConsPerCap,,,,,,,0.958759848298537
1994,222,Tunisia,BiocapPerCap,,,,,,,0.747848183603734
1995,222,Tunisia,EFConsPerCap,,,,,,,1.07215193238423
1995,222,Tunisia,BiocapPerCap,,,,,,,0.737191563541204
1996,222,Tunisia,EFConsPerCap,,,,,,,1.70031373573965
1996,222,Tunisia,BiocapPerCap,,,,,,,1.00821844980459
1997,222,Tunisia,EFConsPerCap,,,,,,,1.20971920609711
1997,222,Tunisia,BiocapPerCap,,,,,,,0.790860064808406
1998,222,Tunisia,EFConsPerCap,,,,,,,1.57687018088432
1998,222,Tunisia,BiocapPerCap,,,,,,,0.919572366684143
1999,222,Tunisia,EFConsPerCap,,,,,,,1.61060638253229
1999,222,Tunisia,BiocapPerCap,,,,,,,0.931274527980699
2000,222,Tunisia,EFConsPerCap,,,,,,,1.45001780197268
2000,222,Tunisia,BiocapPerCap,,,,,,,0.772399650611222
2001,222,Tunisia,EFConsPerCap,,,,,,,1.24526565447512
2001,222,Tunisia,BiocapPerCap,,,,,,,0.758779291909471
2002,222,Tunisia,EFConsPerCap,,,,,,,1.75083964497492
2002,222,Tunisia,BiocapPerCap,,,,,,,0.695857637929532
2003,222,Tunisia,EFConsPerCap,,,,,,,1.96286422605827
2003,222,Tunisia,BiocapPerCap,,,,,,,0.950527682114676
2004,222,Tunisia,EFConsPerCap,,,,,,,1.27348421740407
2004,222,Tunisia,BiocapPerCap,,,,,,,0.809368861826999
2005,222,Tunisia,EFConsPerCap,,,,,,,1.81757793486149
2005,222,Tunisia,BiocapPerCap,,,,,,,0.893552215442465
2006,222,Tunisia,EFConsPerCap,,,,,,,1.58158373497923
2006,222,Tunisia,BiocapPerCap,,,,,,,0.856040984417591
2007,222,Tunisia,EFConsPerCap,,,,,,,1.76895414458558
2007,222,Tunisia,BiocapPerCap,,,,,,,0.895946980980279
2008,222,Tunisia,EFConsPerCap,,,,,,,1.92222767293255
2008,222,Tunisia,BiocapPerCap,,,,,,,0.880702505859446
2009,222,Tunisia,EFConsPerCap,,,,,,,1.68026148176727
2009,222,Tunisia,BiocapPerCap,,,,,,,0.873574717826082
2010,222,Tunisia,EFConsPerCap,,,,,,,2.01492346490097
2010,222,Tunisia,BiocapPerCap,,,,,,,0.826334409854941
2011,222,Tunisia,EFConsPerCap,,,,,,,1.78487421728986
2011,222,Tunisia,BiocapPerCap,,,,,,,0.830827917698921
2012,222,Tunisia,EFConsPerCap,,,,,,,1.98138257383251
2012,222,Tunisia,BiocapPerCap,,,,,,,0.87996916166813
2013,222,Tunisia,EFConsPerCap,,,,,,,1.93878917349544
2013,222,Tunisia,BiocapPerCap,,,,,,,0.783889287963077
2014,222,Tunisia,EFConsPerCap,,,,,,,1.78380084113414
2014,222,Tunisia,BiocapPerCap,,,,,,,0.799933714502325
2015,222,Tunisia,EFConsPerCap,,,,,,,2.02292931282687
2015,222,Tunisia,BiocapPerCap,,,,,,,0.875108994787643
2016,222,Tunisia,EFConsPerCap,,,,,,,1.95839590262678
2016,222,Tunisia,BiocapPerCap,,,,,,,0.765256844856812
2017,222,Tunisia,EFConsPerCap,,,,,,,2.04908600134354
2017,222,Tunisia,BiocapPerCap,,,,,,,0.793963728068711
2018,222,Tunisia,EFConsPerCap,,,,,,,1.88615289132057
2018,222,Tunisia,BiocapPerCap,,,,,,,0.764813416851054
2019,222,Tunisia,EFConsPerCap,,,,,,,1.92631729050845
2019,222,Tunisia,BiocapPerCap,,,,,,,0.868609299580721
2020,222,Tunisia,EFConsPerCap,,,,,,,1.54591688308152
2020,222,Tunisia,BiocapPerCap,,,,,,,0.767158887204213
2021,222,Tunisia,EFConsPerCap,,,,,,,1.75788031989017
