year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1992,213,Turkmenistan,EFConsPerCap,,,,,,,3.63940831267878
1992,213,Turkmenistan,BiocapPerCap,,,,,,,3.81633617805087
1993,213,Turkmenistan,EFConsPerCap,,,,,,,3.32751596723158
1993,213,Turkmenistan,BiocapPerCap,,,,,,,3.76792346864386
1994,213,Turkmenistan,EFConsPerCap,,,,,,,3.65957350317529
1994,213,Turkmenistan,BiocapPerCap,,,,,,,3.74217103961248
1995,213,Turkmenistan,EFConsPerCap,,,,,,,3.54440611569942
1995,213,Turkmenistan,BiocapPerCap,,,,,,,3.521309946781
1996,213,Turkmenistan,EFConsPerCap,,,,,,,2.7881014182821
1996,213,Turkmenistan,BiocapPerCap,,,,,,,3.04965301830477
1997,213,Turkmenistan,EFConsPerCap,,,,,,,2.97730504639859
1997,213,Turkmenistan,BiocapPerCap,,,,,,,3.12992838119092
1998,213,Turkmenistan,EFConsPerCap,,,,,,,3.15592817094377
1998,213,Turkmenistan,BiocapPerCap,,,,,,,3.29867294830576
1999,213,Turkmenistan,EFConsPerCap,,,,,,,3.90251579750202
1999,213,Turkmenistan,BiocapPerCap,,,,,,,3.54199699589038
2000,213,Turkmenistan,EFConsPerCap,,,,,,,3.97883384584128
2000,213,Turkmenistan,BiocapPerCap,,,,,,,3.37884302852498
2001,213,Turkmenistan,EFConsPerCap,,,,,,,4.21456381432967
2001,213,Turkmenistan,BiocapPerCap,,,,,,,3.44771500025567
2002,213,Turkmenistan,EFConsPerCap,,,,,,,4.18701807267452
2002,213,Turkmenistan,BiocapPerCap,,,,,,,3.38534945509368
2003,213,Turkmenistan,EFConsPerCap,,,,,,,4.46179022198358
2003,213,Turkmenistan,BiocapPerCap,,,,,,,3.35710855782939
2004,213,Turkmenistan,EFConsPerCap,,,,,,,4.74430494882257
2004,213,Turkmenistan,BiocapPerCap,,,,,,,3.3459771344554
2005,213,Turkmenistan,EFConsPerCap,,,,,,,4.81977355243615
2005,213,Turkmenistan,BiocapPerCap,,,,,,,3.29550358087398
2006,213,Turkmenistan,EFConsPerCap,,,,,,,4.76782055558567
2006,213,Turkmenistan,BiocapPerCap,,,,,,,3.24338057622999
2007,213,Turkmenistan,EFConsPerCap,,,,,,,4.92794899845351
2007,213,Turkmenistan,BiocapPerCap,,,,,,,2.79260637453882
2008,213,Turkmenistan,EFConsPerCap,,,,,,,5.12296751780206
2008,213,Turkmenistan,BiocapPerCap,,,,,,,2.72699507345487
2009,213,Turkmenistan,EFConsPerCap,,,,,,,4.51586320118414
2009,213,Turkmenistan,BiocapPerCap,,,,,,,2.78228126318284
2010,213,Turkmenistan,EFConsPerCap,,,,,,,5.07531502840631
2010,213,Turkmenistan,BiocapPerCap,,,,,,,2.82606319652426
2011,213,Turkmenistan,EFConsPerCap,,,,,,,5.24717297206641
2011,213,Turkmenistan,BiocapPerCap,,,,,,,2.62847084405165
2012,213,Turkmenistan,EFConsPerCap,,,,,,,5.08064757693719
2012,213,Turkmenistan,BiocapPerCap,,,,,,,2.47248942167789
2013,213,Turkmenistan,EFConsPerCap,,,,,,,4.75405274439846
2013,213,Turkmenistan,BiocapPerCap,,,,,,,2.46388100676918
2014,213,Turkmenistan,EFConsPerCap,,,,,,,4.58636648143881
2014,213,Turkmenistan,BiocapPerCap,,,,,,,2.47466689140262
2015,213,Turkmenistan,EFConsPerCap,,,,,,,4.75065236775278
2015,213,Turkmenistan,BiocapPerCap,,,,,,,2.47489142128211
2016,213,Turkmenistan,EFConsPerCap,,,,,,,4.60026053697874
2016,213,Turkmenistan,BiocapPerCap,,,,,,,2.50809915535585
2017,213,Turkmenistan,EFConsPerCap,,,,,,,4.94922442086893
2017,213,Turkmenistan,BiocapPerCap,,,,,,,2.48823430718339
2018,213,Turkmenistan,EFConsPerCap,,,,,,,4.91665324598086
2018,213,Turkmenistan,BiocapPerCap,,,,,,,2.3913933526347
2019,213,Turkmenistan,EFConsPerCap,,,,,,,4.9199447318598
2019,213,Turkmenistan,BiocapPerCap,,,,,,,2.43677402959078
2020,213,Turkmenistan,EFConsPerCap,,,,,,,4.92425863540185
2020,213,Turkmenistan,BiocapPerCap,,,,,,,2.44247472393763
2021,213,Turkmenistan,EFConsPerCap,,,,,,,5.99995692615113
2021,213,Turkmenistan,BiocapPerCap,,,,,,,2.39424393336336
2022,213,Turkmenistan,EFConsPerCap,,,,,,,6.17246135520833
2022,213,Turkmenistan,BiocapPerCap,,,,,,,2.32015046991834
2023,213,Turkmenistan,EFConsPerCap,,,,,,,5.92658969848561
2023,213,Turkmenistan,BiocapPerCap,,,,,,,2.29030774612563
2024,213,Turkmenistan,EFConsPerCap,0.578179719626468,0.510254572303761,0.0244229097709196,0.00464352367302495,0.0849184172736722,4.52502331652067,5.72744245916852
2024,213,Turkmenistan,BiocapPerCap,0.523828012464905,1.54163145342444,0.0118724976305721,0.100040732373153,0.0849184172736722,0.0,2.26229111316674
