year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1992,230,Ukraine,EFConsPerCap,,,,,,,4.78122744859021
1992,230,Ukraine,BiocapPerCap,,,,,,,1.97563987293147
1993,230,Ukraine,EFConsPerCap,,,,,,,4.56938578589611
1993,230,Ukraine,BiocapPerCap,,,,,,,2.14545244548179
1994,230,Ukraine,EFConsPerCap,,,,,,,3.87403521671591
1994,230,Ukraine,BiocapPerCap,,,,,,,1.95550265019046
1995,230,Ukraine,EFConsPerCap,,,,,,,4.02341964567542
1995,230,Ukraine,BiocapPerCap,,,,,,,1.89375451234741
1996,230,Ukraine,EFConsPerCap,,,,,,,3.43799338732237
1996,230,Ukraine,BiocapPerCap,,,,,,,1.70148693552058
1997,230,Ukraine,EFConsPerCap,,,,,,,3.49635149321941
1997,230,Ukraine,BiocapPerCap,,,,,,,1.87481312846729
1998,230,Ukraine,EFConsPerCap,,,,,,,3.15412974240999
1998,230,Ukraine,BiocapPerCap,,,,,,,1.74374754949119
1999,230,Ukraine,EFConsPerCap,,,,,,,3.0952519634038
1999,230,Ukraine,BiocapPerCap,,,,,,,1.71266351056477
2000,230,Ukraine,EFConsPerCap,,,,,,,3.25830143933915
2000,230,Ukraine,BiocapPerCap,,,,,,,1.76737820952809
2001,230,Ukraine,EFConsPerCap,,,,,,,3.71295201904587
2001,230,Ukraine,BiocapPerCap,,,,,,,2.11403552659546
2002,230,Ukraine,EFConsPerCap,,,,,,,3.48089005874328
2002,230,Ukraine,BiocapPerCap,,,,,,,2.12530585321197
2003,230,Ukraine,EFConsPerCap,,,,,,,3.68468759311841
2003,230,Ukraine,BiocapPerCap,,,,,,,1.93716503843629
2004,230,Ukraine,EFConsPerCap,,,,,,,3.61953005186063
2004,230,Ukraine,BiocapPerCap,,,,,,,2.11124771575632
2005,230,Ukraine,EFConsPerCap,,,,,,,3.63636088398731
2005,230,Ukraine,BiocapPerCap,,,,,,,2.16017130466392
2006,230,Ukraine,EFConsPerCap,,,,,,,3.49292650507482
2006,230,Ukraine,BiocapPerCap,,,,,,,2.11414123415139
2007,230,Ukraine,EFConsPerCap,,,,,,,3.51954561870305
2007,230,Ukraine,BiocapPerCap,,,,,,,2.00253874036083
2008,230,Ukraine,EFConsPerCap,,,,,,,3.94218134023876
2008,230,Ukraine,BiocapPerCap,,,,,,,2.55686579971476
2009,230,Ukraine,EFConsPerCap,,,,,,,2.93777702055856
2009,230,Ukraine,BiocapPerCap,,,,,,,2.36982218137945
2010,230,Ukraine,EFConsPerCap,,,,,,,3.37361456601678
2010,230,Ukraine,BiocapPerCap,,,,,,,2.26964475339841
2011,230,Ukraine,EFConsPerCap,,,,,,,3.7106473681002
2011,230,Ukraine,BiocapPerCap,,,,,,,2.59700732089226
2012,230,Ukraine,EFConsPerCap,,,,,,,3.01597119971807
2012,230,Ukraine,BiocapPerCap,,,,,,,2.37111368623247
2013,230,Ukraine,EFConsPerCap,,,,,,,3.49157174338285
2013,230,Ukraine,BiocapPerCap,,,,,,,2.69961709260824
2014,230,Ukraine,EFConsPerCap,,,,,,,3.07740898454522
2014,230,Ukraine,BiocapPerCap,,,,,,,2.82176133494542
2015,230,Ukraine,EFConsPerCap,,,,,,,2.64203179338573
2015,230,Ukraine,BiocapPerCap,,,,,,,2.80097626213694
2016,230,Ukraine,EFConsPerCap,,,,,,,2.88067889145568
2016,230,Ukraine,BiocapPerCap,,,,,,,2.96907033752512
2017,230,Ukraine,EFConsPerCap,,,,,,,2.51558288382366
2017,230,Ukraine,BiocapPerCap,,,,,,,2.83932952913808
2018,230,Ukraine,EFConsPerCap,,,,,,,2.96709761446413
2018,230,Ukraine,BiocapPerCap,,,,,,,3.00831049742634
2019,230,Ukraine,EFConsPerCap,,,,,,,2.71727442390305
2019,230,Ukraine,BiocapPerCap,,,,,,,3.07788206040644
2020,230,Ukraine,EFConsPerCap,,,,,,,2.23099871495581
2020,230,Ukraine,BiocapPerCap,,,,,,,2.83791173892521
2021,230,Ukraine,EFConsPerCap,,,,,,,3.29447362723843
2021,230,Ukraine,BiocapPerCap,,,,,,,3.32854023078903
2022,230,Ukraine,EFConsPerCap,,,,,,,3.17025449845449
2022,230,Ukraine,BiocapPerCap,,,,,,,3.23925090940231
