year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,229,United Kingdom,EFConsPerCap,0.754985355130689,0.77394661443038,0.304511346288956,0.355216012501496,0.0683288758877258,3.93744260325437,6.19443080749362
1961,229,United Kingdom,BiocapPerCap,0.327382130343374,0.187189483338579,0.133279438619581,0.375631542305326,0.0683288758877258,0.0,1.09181147049458
1962,229,United Kingdom,EFConsPerCap,0.792651074633943,0.776192621295054,0.296984132756626,0.374549720847212,0.0770474646136929,3.91499364852098,6.23241866266751
1962,229,United Kingdom,BiocapPerCap,0.357529179491291,0.184984661734103,0.133608635493842,0.372931698852198,0.0770474646136929,0.0,1.12610164018513
1963,229,United Kingdom,EFConsPerCap,0.767923849559019,0.791346003324827,0.314560037879814,0.380732225259817,0.076585307351969,3.74221504878768,6.07336247216313
1963,229,United Kingdom,BiocapPerCap,0.351091082605645,0.182797066799986,0.134205582578468,0.370441770222264,0.076585307351969,0.0,1.11512080955833
1964,229,United Kingdom,EFConsPerCap,0.771032609092063,0.770613963673054,0.363840368919137,0.37379192859661,0.0815432884390802,3.62072324805088,5.98154540677082
1964,229,United Kingdom,BiocapPerCap,0.362908539471042,0.180133945023345,0.13498852872074,0.367621282385386,0.0815432884390802,0.0,1.12719558403959
1965,229,United Kingdom,EFConsPerCap,0.770347987274877,0.718698852816122,0.350977168314756,0.408479719953631,0.0887290944849144,3.61158032069561,5.94881314353991
1965,229,United Kingdom,BiocapPerCap,0.371229620381315,0.177354428907366,0.136121487963204,0.364632086708613,0.0887290944849144,0.0,1.13806671844541
1966,229,United Kingdom,EFConsPerCap,0.713673502129605,0.702128078576504,0.330273971711608,0.407643699997007,0.0828043000311565,3.71984774519644,5.95637129764232
1966,229,United Kingdom,BiocapPerCap,0.335081700466839,0.175534350782585,0.137414705028332,0.361474924357352,0.0828043000311565,0.0,1.09230998066627
