year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1992,235,Uzbekistan,EFConsPerCap,,,,,,,2.3494225398362
1992,235,Uzbekistan,BiocapPerCap,,,,,,,0.854050698140814
1993,235,Uzbekistan,EFConsPerCap,,,,,,,2.29065840220276
1993,235,Uzbekistan,BiocapPerCap,,,,,,,0.814178024277141
1994,235,Uzbekistan,EFConsPerCap,,,,,,,2.27668842603853
1994,235,Uzbekistan,BiocapPerCap,,,,,,,0.786243972476679
1995,235,Uzbekistan,EFConsPerCap,,,,,,,2.1428079889293
1995,235,Uzbekistan,BiocapPerCap,,,,,,,0.814376656037989
1996,235,Uzbekistan,EFConsPerCap,,,,,,,2.18643107417908
1996,235,Uzbekistan,BiocapPerCap,,,,,,,0.769428512424118
1997,235,Uzbekistan,EFConsPerCap,,,,,,,2.067699475513
1997,235,Uzbekistan,BiocapPerCap,,,,,,,0.780265050359454
1998,235,Uzbekistan,EFConsPerCap,,,,,,,2.21436401389716
1998,235,Uzbekistan,BiocapPerCap,,,,,,,0.782999351338569
1999,235,Uzbekistan,EFConsPerCap,,,,,,,2.19350423765659
1999,235,Uzbekistan,BiocapPerCap,,,,,,,0.789152890588992
2000,235,Uzbekistan,EFConsPerCap,,,,,,,2.2994799531466
2000,235,Uzbekistan,BiocapPerCap,,,,,,,0.742567563414954
2001,235,Uzbekistan,EFConsPerCap,,,,,,,2.35508067358304
2001,235,Uzbekistan,BiocapPerCap,,,,,,,0.769278639806273
2002,235,Uzbekistan,EFConsPerCap,,,,,,,2.2706622790388
2002,235,Uzbekistan,BiocapPerCap,,,,,,,0.804316855073079
2003,235,Uzbekistan,EFConsPerCap,,,,,,,2.1272983039774
2003,235,Uzbekistan,BiocapPerCap,,,,,,,0.775605594921052
2004,235,Uzbekistan,EFConsPerCap,,,,,,,2.17793643702957
2004,235,Uzbekistan,BiocapPerCap,,,,,,,0.776111140238162
2005,235,Uzbekistan,EFConsPerCap,,,,,,,2.12943941491139
2005,235,Uzbekistan,BiocapPerCap,,,,,,,0.822988301779739
2006,235,Uzbekistan,EFConsPerCap,,,,,,,2.20375508508693
2006,235,Uzbekistan,BiocapPerCap,,,,,,,0.803081543963429
2007,235,Uzbekistan,EFConsPerCap,,,,,,,2.26051245930137
2007,235,Uzbekistan,BiocapPerCap,,,,,,,0.811712395384497
2008,235,Uzbekistan,EFConsPerCap,,,,,,,2.36315364775356
2008,235,Uzbekistan,BiocapPerCap,,,,,,,0.794982692052427
2009,235,Uzbekistan,EFConsPerCap,,,,,,,2.19500608387317
2009,235,Uzbekistan,BiocapPerCap,,,,,,,0.802466047202484
2010,235,Uzbekistan,EFConsPerCap,,,,,,,2.32735180996379
2010,235,Uzbekistan,BiocapPerCap,,,,,,,0.801631930451036
2011,235,Uzbekistan,EFConsPerCap,,,,,,,2.3920808393773
2011,235,Uzbekistan,BiocapPerCap,,,,,,,0.776040609710703
2012,235,Uzbekistan,EFConsPerCap,,,,,,,2.17481665055808
2012,235,Uzbekistan,BiocapPerCap,,,,,,,0.769161473269442
2013,235,Uzbekistan,EFConsPerCap,,,,,,,2.15659069131087
2013,235,Uzbekistan,BiocapPerCap,,,,,,,0.780262747020873
2014,235,Uzbekistan,EFConsPerCap,,,,,,,2.07110263339857
2014,235,Uzbekistan,BiocapPerCap,,,,,,,0.790952639805287
2015,235,Uzbekistan,EFConsPerCap,,,,,,,1.98156107423139
2015,235,Uzbekistan,BiocapPerCap,,,,,,,0.794008000234692
2016,235,Uzbekistan,EFConsPerCap,,,,,,,1.9673375406255
2016,235,Uzbekistan,BiocapPerCap,,,,,,,0.767385330519172
2017,235,Uzbekistan,EFConsPerCap,,,,,,,1.97587465752421
2017,235,Uzbekistan,BiocapPerCap,,,,,,,0.735355710537378
2018,235,Uzbekistan,EFConsPerCap,,,,,,,2.00691331060022
2018,235,Uzbekistan,BiocapPerCap,,,,,,,0.691404971737943
2019,235,Uzbekistan,EFConsPerCap,,,,,,,2.10140572764742
2019,235,Uzbekistan,BiocapPerCap,,,,,,,0.720906811931789
2020,235,Uzbekistan,EFConsPerCap,,,,,,,2.15280447726431
2020,235,Uzbekistan,BiocapPerCap,,,,,,,0.737735592014337
2021,235,Uzbekistan,EFConsPerCap,,,,,,,2.23335434229395
2021,235,Uzbekistan,BiocapPerCap,,,,,,,0.755369904916485
2022,235,Uzbekistan,EFConsPerCap,,,,,,,2.26077290627066
2022,235,Uzbekistan,BiocapPerCap,,,,,,,0.750320644069481
2023,235,Uzbekistan,EFConsPerCap,,,,,,,2.19107981366006
2023,235,Uzbekistan,BiocapPerCap,,,,,,,0.739896853885532
2024,235,Uzbekistan,EFConsPerCap,0.516890765711127,0.181822740923682,0.0940326487707608,0.00775927302696264,0.0788058699378109,1.31105796084918,2.19036925921952
2024,235,Uzbekistan,BiocapPerCap,0.435595478715153,0.153502084509495,0.0539219859596541,0.00842262529805954,0.0788058699378109,0.0,0.730248044420172
