year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,249,Yemen,EFConsPerCap,,,,,,,0.83700771814943
1961,249,Yemen,BiocapPerCap,,,,,,,2.01191495617037
1962,249,Yemen,EFConsPerCap,,,,,,,0.861603362160096
1962,249,Yemen,BiocapPerCap,,,,,,,1.96695155275619
1963,249,Yemen,EFConsPerCap,,,,,,,0.811604021835689
1963,249,Yemen,BiocapPerCap,,,,,,,1.93917828492966
1964,249,Yemen,EFConsPerCap,,,,,,,0.813963534236146
1964,249,Yemen,BiocapPerCap,,,,,,,1.89610453143521
1965,249,Yemen,EFConsPerCap,,,,,,,0.823764157065038
1965,249,Yemen,BiocapPerCap,,,,,,,1.86036127745872
1966,249,Yemen,EFConsPerCap,,,,,,,0.801612329974842
1966,249,Yemen,BiocapPerCap,,,,,,,1.8169600036744
1967,249,Yemen,EFConsPerCap,,,,,,,0.804925446409343
1967,249,Yemen,BiocapPerCap,,,,,,,1.78548943441313
1968,249,Yemen,EFConsPerCap,,,,,,,1.02786704963969
1968,249,Yemen,BiocapPerCap,,,,,,,1.73704460561927
1969,249,Yemen,EFConsPerCap,,,,,,,0.755660651014053
1969,249,Yemen,BiocapPerCap,,,,,,,1.70393327365534
1970,249,Yemen,EFConsPerCap,,,,,,,0.676530094236989
1970,249,Yemen,BiocapPerCap,,,,,,,1.65582562279037
1971,249,Yemen,EFConsPerCap,,,,,,,0.673347043780984
1971,249,Yemen,BiocapPerCap,,,,,,,1.62761388959613
1972,249,Yemen,EFConsPerCap,,,,,,,0.657655510469547
1972,249,Yemen,BiocapPerCap,,,,,,,1.57694669619339
1973,249,Yemen,EFConsPerCap,,,,,,,0.675758045683778
1973,249,Yemen,BiocapPerCap,,,,,,,1.54519654086863
1974,249,Yemen,EFConsPerCap,,,,,,,0.694161232780595
1974,249,Yemen,BiocapPerCap,,,,,,,1.49477456040786
1975,249,Yemen,EFConsPerCap,,,,,,,0.736330246620271
1975,249,Yemen,BiocapPerCap,,,,,,,1.47983550911197
1976,249,Yemen,EFConsPerCap,,,,,,,0.584504516390062
1976,249,Yemen,BiocapPerCap,,,,,,,1.41105624893397
1977,249,Yemen,EFConsPerCap,,,,,,,0.633027102688387
1977,249,Yemen,BiocapPerCap,,,,,,,1.39184879010293
1978,249,Yemen,EFConsPerCap,,,,,,,0.703215197828468
1978,249,Yemen,BiocapPerCap,,,,,,,1.35062166290354
1979,249,Yemen,EFConsPerCap,,,,,,,0.696446256750341
1979,249,Yemen,BiocapPerCap,,,,,,,1.31737526116555
1980,249,Yemen,EFConsPerCap,,,,,,,0.706383416661163
1980,249,Yemen,BiocapPerCap,,,,,,,1.27857247501061
1981,249,Yemen,EFConsPerCap,,,,,,,0.736622106786695
1981,249,Yemen,BiocapPerCap,,,,,,,1.21326122030585
1982,249,Yemen,EFConsPerCap,,,,,,,0.741019812215696
1982,249,Yemen,BiocapPerCap,,,,,,,1.12443683086484
1983,249,Yemen,EFConsPerCap,,,,,,,0.666551798472249
1983,249,Yemen,BiocapPerCap,,,,,,,0.994496029086762
1984,249,Yemen,EFConsPerCap,,,,,,,0.714102314935629
1984,249,Yemen,BiocapPerCap,,,,,,,0.960925186090804
1985,249,Yemen,EFConsPerCap,,,,,,,0.682810594839081
1985,249,Yemen,BiocapPerCap,,,,,,,0.902938335518678
1986,249,Yemen,EFConsPerCap,,,,,,,0.695685553542936
1986,249,Yemen,BiocapPerCap,,,,,,,0.894608100890223
1987,249,Yemen,EFConsPerCap,,,,,,,0.693537534448019
1987,249,Yemen,BiocapPerCap,,,,,,,0.861546124291281
1988,249,Yemen,EFConsPerCap,,,,,,,0.632090667770315
1988,249,Yemen,BiocapPerCap,,,,,,,0.839500646617374
1989,249,Yemen,EFConsPerCap,,,,,,,0.625924530462334
1989,249,Yemen,BiocapPerCap,,,,,,,0.818594084906038
1990,249,Yemen,EFConsPerCap,,,,,,,0.637253175686553
1990,249,Yemen,BiocapPerCap,,,,,,,0.787077161845283
1991,249,Yemen,EFConsPerCap,,,,,,,0.697656848726135
1991,249,Yemen,BiocapPerCap,,,,,,,0.736197719929222
1992,249,Yemen,EFConsPerCap,,,,,,,0.801517589503801
1992,249,Yemen,BiocapPerCap,,,,,,,0.74753897196975
1993,249,Yemen,EFConsPerCap,,,,,,,0.776766033485448
1993,249,Yemen,BiocapPerCap,,,,,,,0.733436894955029
1994,249,Yemen,EFConsPerCap,,,,,,,0.750138979431032
1994,249,Yemen,BiocapPerCap,,,,,,,0.707131009560203
1995,249,Yemen,EFConsPerCap,,,,,,,0.752357290606818
1995,249,Yemen,BiocapPerCap,,,,,,,0.682274283606951
1996,249,Yemen,EFConsPerCap,,,,,,,0.745176099554979
1996,249,Yemen,BiocapPerCap,,,,,,,0.652377925337081
1997,249,Yemen,EFConsPerCap,,,,,,,0.736682212567562
1997,249,Yemen,BiocapPerCap,,,,,,,0.628629274045542
1998,249,Yemen,EFConsPerCap,,,,,,,0.793984855427508
1998,249,Yemen,BiocapPerCap,,,,,,,0.626337690853047
1999,249,Yemen,EFConsPerCap,,,,,,,0.824536140700046
1999,249,Yemen,BiocapPerCap,,,,,,,0.612387692914648
2000,249,Yemen,EFConsPerCap,,,,,,,0.827631707982329
2000,249,Yemen,BiocapPerCap,,,,,,,0.596324301954699
2001,249,Yemen,EFConsPerCap,,,,,,,0.861934320043067
2001,249,Yemen,BiocapPerCap,,,,,,,0.579113279917885
2002,249,Yemen,EFConsPerCap,,,,,,,0.850078323818839
2002,249,Yemen,BiocapPerCap,,,,,,,0.560004142767229
2003,249,Yemen,EFConsPerCap,,,,,,,0.887566874614828
2003,249,Yemen,BiocapPerCap,,,,,,,0.534390735413067
2004,249,Yemen,EFConsPerCap,,,,,,,0.947546119653288
2004,249,Yemen,BiocapPerCap,,,,,,,0.521741607003437
2005,249,Yemen,EFConsPerCap,,,,,,,0.957663432662199
2005,249,Yemen,BiocapPerCap,,,,,,,0.504266501989472
2006,249,Yemen,EFConsPerCap,,,,,,,0.963598857939369
2006,249,Yemen,BiocapPerCap,,,,,,,0.510287412675781
2007,249,Yemen,EFConsPerCap,,,,,,,0.896901466180153
2007,249,Yemen,BiocapPerCap,,,,,,,0.503279117800077
2008,249,Yemen,EFConsPerCap,,,,,,,0.802619095994506
2008,249,Yemen,BiocapPerCap,,,,,,,0.485567580255513
2009,249,Yemen,EFConsPerCap,,,,,,,1.02811162776863
2009,249,Yemen,BiocapPerCap,,,,,,,0.477151163655087
2010,249,Yemen,EFConsPerCap,,,,,,,0.953536369105216
2010,249,Yemen,BiocapPerCap,,,,,,,0.474430996199588
2011,249,Yemen,EFConsPerCap,,,,,,,0.864118225196571
2011,249,Yemen,BiocapPerCap,,,,,,,0.449012665053817
2012,249,Yemen,EFConsPerCap,,,,,,,1.00554080857014
2012,249,Yemen,BiocapPerCap,,,,,,,0.438706967019564
2013,249,Yemen,EFConsPerCap,,,,,,,1.00303290666674
2013,249,Yemen,BiocapPerCap,,,,,,,0.426341995518962
2014,249,Yemen,EFConsPerCap,,,,,,,1.06356717366064
2014,249,Yemen,BiocapPerCap,,,,,,,0.431368488502169
2015,249,Yemen,EFConsPerCap,,,,,,,0.740890251173697
2015,249,Yemen,BiocapPerCap,,,,,,,0.41137577001503
2016,249,Yemen,EFConsPerCap,,,,,,,0.674451177266168
2016,249,Yemen,BiocapPerCap,,,,,,,0.396592163469622
2017,249,Yemen,EFConsPerCap,,,,,,,0.649554708742004
2017,249,Yemen,BiocapPerCap,,,,,,,0.385795527970681
2018,249,Yemen,EFConsPerCap,,,,,,,0.619520321082174
2018,249,Yemen,BiocapPerCap,,,,,,,0.374804857361763
2019,249,Yemen,EFConsPerCap,,,,,,,0.638531547939076
2019,249,Yemen,BiocapPerCap,,,,,,,0.384165000814023
2020,249,Yemen,EFConsPerCap,,,,,,,0.693311293167607
2020,249,Yemen,BiocapPerCap,,,,,,,0.386512832347199
2021,249,Yemen,EFConsPerCap,,,,,,,0.683514447931382
2021,249,Yemen,BiocapPerCap,,,,,,,0.391117990652498
2022,249,Yemen,EFConsPerCap,,,,,,,0.617129442977282
2022,249,Yemen,BiocapPerCap,,,,,,,0.364277397530138
2023,249,Yemen,EFConsPerCap,,,,,,,0.56542973497192
2023,249,Yemen,BiocapPerCap,,,,,,,0.356930414030845
2024,249,Yemen,EFConsPerCap,0.216792519946937,0.0884436982577995,0.0195593215563543,0.049253838813549,0.0323031963731768,0.14706119791191,0.553413772859727
2024,249,Yemen,BiocapPerCap,0.0678948994303996,0.0816429954509174,0.0295474903398039,0.13834815935695,0.0323031963731768,0.0,0.349736740951247
