year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,181,Zimbabwe,EFConsPerCap,,,,,,,1.6288106178805
1961,181,Zimbabwe,BiocapPerCap,,,,,,,1.82581243060359
1962,181,Zimbabwe,EFConsPerCap,,,,,,,1.59840124983295
1962,181,Zimbabwe,BiocapPerCap,,,,,,,1.8026084352456
1963,181,Zimbabwe,EFConsPerCap,,,,,,,1.62874883021121
1963,181,Zimbabwe,BiocapPerCap,,,,,,,1.73141499093303
1964,181,Zimbabwe,EFConsPerCap,,,,,,,1.51993118382906
1964,181,Zimbabwe,BiocapPerCap,,,,,,,1.69611844855669
1965,181,Zimbabwe,EFConsPerCap,,,,,,,1.47278382445877
1965,181,Zimbabwe,BiocapPerCap,,,,,,,1.65181778011391
1966,181,Zimbabwe,EFConsPerCap,,,,,,,1.43235575745062
1966,181,Zimbabwe,BiocapPerCap,,,,,,,1.64665185190273
1967,181,Zimbabwe,EFConsPerCap,,,,,,,1.53196013536966
1967,181,Zimbabwe,BiocapPerCap,,,,,,,1.66269186354673
1968,181,Zimbabwe,EFConsPerCap,,,,,,,1.54160210362595
1968,181,Zimbabwe,BiocapPerCap,,,,,,,1.55759819495793
1969,181,Zimbabwe,EFConsPerCap,,,,,,,1.66555971496408
1969,181,Zimbabwe,BiocapPerCap,,,,,,,1.57476780938604
1970,181,Zimbabwe,EFConsPerCap,,,,,,,1.66539786704793
1970,181,Zimbabwe,BiocapPerCap,,,,,,,1.48837902244982
1971,181,Zimbabwe,EFConsPerCap,,,,,,,1.78721208722238
1971,181,Zimbabwe,BiocapPerCap,,,,,,,1.54723763695135
1972,181,Zimbabwe,EFConsPerCap,,,,,,,1.57360349683015
1972,181,Zimbabwe,BiocapPerCap,,,,,,,1.54582383128697
1973,181,Zimbabwe,EFConsPerCap,,,,,,,1.42701725082807
1973,181,Zimbabwe,BiocapPerCap,,,,,,,1.3702284781061
1974,181,Zimbabwe,EFConsPerCap,,,,,,,1.56663032560011
1974,181,Zimbabwe,BiocapPerCap,,,,,,,1.44678231721831
1975,181,Zimbabwe,EFConsPerCap,,,,,,,1.40170265696211
