year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,51,Czechoslovakia,EFConsPerCap,,,,,,,5.32073964936062
1961,51,Czechoslovakia,BiocapPerCap,,,,,,,2.35553210742282
1962,51,Czechoslovakia,EFConsPerCap,,,,,,,5.35089331280184
1962,51,Czechoslovakia,BiocapPerCap,,,,,,,2.32191141876307
1963,51,Czechoslovakia,EFConsPerCap,,,,,,,5.30429918417953
1963,51,Czechoslovakia,BiocapPerCap,,,,,,,2.34982346576912
1964,51,Czechoslovakia,EFConsPerCap,,,,,,,5.1898788352568
1964,51,Czechoslovakia,BiocapPerCap,,,,,,,2.27699403161985
1965,51,Czechoslovakia,EFConsPerCap,,,,,,,4.98811515151545
1965,51,Czechoslovakia,BiocapPerCap,,,,,,,2.31385485541436
1966,51,Czechoslovakia,EFConsPerCap,,,,,,,5.15300716106169
1966,51,Czechoslovakia,BiocapPerCap,,,,,,,2.30012420223969
1967,51,Czechoslovakia,EFConsPerCap,,,,,,,5.58270802758936
1967,51,Czechoslovakia,BiocapPerCap,,,,,,,2.39891899523872
1968,51,Czechoslovakia,EFConsPerCap,,,,,,,5.78022315190177
1968,51,Czechoslovakia,BiocapPerCap,,,,,,,2.43358360032974
1969,51,Czechoslovakia,EFConsPerCap,,,,,,,5.96928411374625
1969,51,Czechoslovakia,BiocapPerCap,,,,,,,2.47163909752047
1970,51,Czechoslovakia,EFConsPerCap,,,,,,,7.04384045981312
1970,51,Czechoslovakia,BiocapPerCap,,,,,,,2.39968270644623
1971,51,Czechoslovakia,EFConsPerCap,,,,,,,7.3485650252249
1971,51,Czechoslovakia,BiocapPerCap,,,,,,,2.50905490349877
1972,51,Czechoslovakia,EFConsPerCap,,,,,,,6.92339378469621
1972,51,Czechoslovakia,BiocapPerCap,,,,,,,2.47401868889509
1973,51,Czechoslovakia,EFConsPerCap,,,,,,,7.2671131034221
1973,51,Czechoslovakia,BiocapPerCap,,,,,,,2.5360261925248
1974,51,Czechoslovakia,EFConsPerCap,,,,,,,7.44396512908522
1974,51,Czechoslovakia,BiocapPerCap,,,,,,,2.59340496566976
1975,51,Czechoslovakia,EFConsPerCap,,,,,,,7.71701810752952
1975,51,Czechoslovakia,BiocapPerCap,,,,,,,2.51557427487618
1976,51,Czechoslovakia,EFConsPerCap,,,,,,,7.68931022942067
1976,51,Czechoslovakia,BiocapPerCap,,,,,,,2.43905794800956
1977,51,Czechoslovakia,EFConsPerCap,,,,,,,7.78704098033849
1977,51,Czechoslovakia,BiocapPerCap,,,,,,,2.56688175760002
1978,51,Czechoslovakia,EFConsPerCap,,,,,,,7.8621077009383
1978,51,Czechoslovakia,BiocapPerCap,,,,,,,2.558194803231
1979,51,Czechoslovakia,EFConsPerCap,,,,,,,7.70002673712517
1979,51,Czechoslovakia,BiocapPerCap,,,,,,,2.42908644013556
1980,51,Czechoslovakia,EFConsPerCap,,,,,,,7.31962955333936
1980,51,Czechoslovakia,BiocapPerCap,,,,,,,2.53546901804782
1981,51,Czechoslovakia,EFConsPerCap,,,,,,,7.15764598971841
1981,51,Czechoslovakia,BiocapPerCap,,,,,,,2.47126352969041
1982,51,Czechoslovakia,EFConsPerCap,,,,,,,6.95449564440086
1982,51,Czechoslovakia,BiocapPerCap,,,,,,,2.49114660127967
1983,51,Czechoslovakia,EFConsPerCap,,,,,,,6.73070755431385
1983,51,Czechoslovakia,BiocapPerCap,,,,,,,2.55342494754764
1984,51,Czechoslovakia,EFConsPerCap,,,,,,,7.39479804459921
1984,51,Czechoslovakia,BiocapPerCap,,,,,,,2.63700107834471
1985,51,Czechoslovakia,EFConsPerCap,,,,,,,7.50458596993184
1985,51,Czechoslovakia,BiocapPerCap,,,,,,,2.62378388872708
1986,51,Czechoslovakia,EFConsPerCap,,,,,,,7.30781158085777
1986,51,Czechoslovakia,BiocapPerCap,,,,,,,2.52271632630946
1987,51,Czechoslovakia,EFConsPerCap,,,,,,,7.26283105030213
1987,51,Czechoslovakia,BiocapPerCap,,,,,,,2.59470149883146
1988,51,Czechoslovakia,EFConsPerCap,,,,,,,7.49374808942898
1988,51,Czechoslovakia,BiocapPerCap,,,,,,,2.64317538134816
1989,51,Czechoslovakia,EFConsPerCap,,,,,,,7.25122707426814
1989,51,Czechoslovakia,BiocapPerCap,,,,,,,2.64318002742499
1990,51,Czechoslovakia,EFConsPerCap,,,,,,,6.64541182245803
1990,51,Czechoslovakia,BiocapPerCap,,,,,,,2.67048869672548
1991,51,Czechoslovakia,EFConsPerCap,,,,,,,5.8210611351474
1991,51,Czechoslovakia,BiocapPerCap,,,,,,,2.63578146778822
1992,51,Czechoslovakia,EFConsPerCap,,,,,,,5.38835903571901
1992,51,Czechoslovakia,BiocapPerCap,,,,,,,2.48578681264456
