year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.99213665171773
1961,62,Ethiopia PDR,BiocapPerCap,,,,,,,2.06079431784454
1962,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.94230962948741
1962,62,Ethiopia PDR,BiocapPerCap,,,,,,,2.00129584846305
1963,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.91780567805324
1963,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.96891370203328
1964,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.88463606841298
1964,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.92455522321897
1965,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.84574128039749
1965,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.87282055026825
1966,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.82759122029933
1966,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.8334046117001
1967,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.81000949957197
1967,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.79953318029364
1968,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.7687372614908
1968,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.74555469477622
1969,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.74980397492769
1969,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.71514968264464
1970,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.73702430321095
1970,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.67606202347266
1971,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.69427588258888
1971,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.63066844453621
1972,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.65044446710136
1972,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.59526451033947
1973,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.63463845325179
1973,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.5722936714841
1974,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.59461346964434
1974,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.51526014845256
1975,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.57917373859807
1975,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.48642676959254
1976,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.59129755305048
1976,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.4781109285072
1977,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.61006610039549
1977,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.46686132608211
1978,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.56974263915031
1978,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.40293521346329
1979,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.60937017247874
1979,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.44028602911336
1980,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.64303754764311
1980,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.46409199956814
1981,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.60094445648928
1981,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.41744318477994
1982,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.53978079646968
1982,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.34497544466567
1983,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.52718627654316
1983,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.32609007446833
1984,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.46868297970601
1984,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.24536142640283
1985,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.4377430563895
1985,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.16515782985851
1986,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.42037345577019
1986,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.1448558078795
1987,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.38028864226997
1987,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.12324765055919
1988,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.37043883307143
1988,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.08672846293316
1989,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.32582259151686
1989,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.04609136059949
1990,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.3061947742293
1990,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.01576292761883
1991,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.31347174956843
1991,62,Ethiopia PDR,BiocapPerCap,,,,,,,1.00861229675586
1992,62,Ethiopia PDR,EFConsPerCap,,,,,,,1.26653358251719
1992,62,Ethiopia PDR,BiocapPerCap,,,,,,,0.945789534857937
