year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,248,Yugoslav SFR,EFConsPerCap,,,,,,,2.09659132183259
1961,248,Yugoslav SFR,BiocapPerCap,,,,,,,1.97238544796998
1962,248,Yugoslav SFR,EFConsPerCap,,,,,,,2.07959362820282
1962,248,Yugoslav SFR,BiocapPerCap,,,,,,,1.94640684397715
1963,248,Yugoslav SFR,EFConsPerCap,,,,,,,2.21482482914374
1963,248,Yugoslav SFR,BiocapPerCap,,,,,,,1.98446631143008
1964,248,Yugoslav SFR,EFConsPerCap,,,,,,,2.31726036713738
1964,248,Yugoslav SFR,BiocapPerCap,,,,,,,1.98593548522277
1965,248,Yugoslav SFR,EFConsPerCap,,,,,,,2.28621088728748
1965,248,Yugoslav SFR,BiocapPerCap,,,,,,,1.94662276614412
1966,248,Yugoslav SFR,EFConsPerCap,,,,,,,2.4983744868632
1966,248,Yugoslav SFR,BiocapPerCap,,,,,,,2.1271217914901
1967,248,Yugoslav SFR,EFConsPerCap,,,,,,,2.4800055472279
1967,248,Yugoslav SFR,BiocapPerCap,,,,,,,2.07525653809868
1968,248,Yugoslav SFR,EFConsPerCap,,,,,,,2.377283175685
1968,248,Yugoslav SFR,BiocapPerCap,,,,,,,2.0031041648184
1969,248,Yugoslav SFR,EFConsPerCap,,,,,,,2.46452347856565
1969,248,Yugoslav SFR,BiocapPerCap,,,,,,,2.05769854271294
1970,248,Yugoslav SFR,EFConsPerCap,,,,,,,2.91878199245683
1970,248,Yugoslav SFR,BiocapPerCap,,,,,,,1.98223599886887
1971,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.13530250217294
1971,248,Yugoslav SFR,BiocapPerCap,,,,,,,2.03295719735821
1972,248,Yugoslav SFR,EFConsPerCap,,,,,,,2.77109279228851
1972,248,Yugoslav SFR,BiocapPerCap,,,,,,,1.99384681124239
1973,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.04551030181726
1973,248,Yugoslav SFR,BiocapPerCap,,,,,,,2.0372784665305
1974,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.50103515270463
1974,248,Yugoslav SFR,BiocapPerCap,,,,,,,2.10199680219972
1975,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.28901825386163
1975,248,Yugoslav SFR,BiocapPerCap,,,,,,,2.02732847242455
1976,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.17144126124596
1976,248,Yugoslav SFR,BiocapPerCap,,,,,,,2.06912545251923
1977,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.41828121950439
1977,248,Yugoslav SFR,BiocapPerCap,,,,,,,2.10387534767865
1978,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.3542297594852
1978,248,Yugoslav SFR,BiocapPerCap,,,,,,,1.99345941791221
1979,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.5515027579278
1979,248,Yugoslav SFR,BiocapPerCap,,,,,,,2.0115528313056
1980,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.36352191645258
1980,248,Yugoslav SFR,BiocapPerCap,,,,,,,2.02378023108331
1981,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.4570207690562
1981,248,Yugoslav SFR,BiocapPerCap,,,,,,,1.97193253825741
1982,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.54997186702429
1982,248,Yugoslav SFR,BiocapPerCap,,,,,,,2.02424199285096
1983,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.47403177275786
1983,248,Yugoslav SFR,BiocapPerCap,,,,,,,2.05450765856631
1984,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.54879019397655
1984,248,Yugoslav SFR,BiocapPerCap,,,,,,,2.05389324032355
1985,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.6301649231648
1985,248,Yugoslav SFR,BiocapPerCap,,,,,,,1.93677611449423
1986,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.8437084619709
1986,248,Yugoslav SFR,BiocapPerCap,,,,,,,2.01911613626157
1987,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.49074699773193
1987,248,Yugoslav SFR,BiocapPerCap,,,,,,,1.94084556888466
1988,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.67297853187399
1988,248,Yugoslav SFR,BiocapPerCap,,,,,,,1.95596080781171
1989,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.72518520429483
1989,248,Yugoslav SFR,BiocapPerCap,,,,,,,1.94003478011661
1990,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.75935678170203
1990,248,Yugoslav SFR,BiocapPerCap,,,,,,,1.87532443213817
1991,248,Yugoslav SFR,EFConsPerCap,,,,,,,3.33466013546232
1991,248,Yugoslav SFR,BiocapPerCap,,,,,,,2.05775498669233
