year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
2013,1001,Caribbean,EFConsPerCap,0.37202736707107253,0.12036599522523687,0.11716476052086287,0.07876199411394115,0.0375258950680597,0.6233121996171004,1.3491582116162715
1992,1001,Caribbean,EFConsPerCap,0.293139217925121,0.13751267083554222,0.11760094773579044,0.08666325461939274,0.02474549335240297,0.26704699578640223,0.9267085802546521
1991,1001,Caribbean,EFConsPerCap,0.2926535409209558,0.13683494682082611,0.11504152462369308,0.057522421253500045,0.024434473689886185,0.3213553245336938,0.9478422318425546
1986,1001,Caribbean,EFConsPerCap,0.3039285569567778,0.15308320852018067,0.11239385613652642,0.08216922078426622,0.02568028501760091,0.3536709643664051,1.0309260917817564
1985,1001,Caribbean,EFConsPerCap,0.2803575236375883,0.15584063145115556,0.110255543832287,0.08010571459935276,0.025617598227902272,0.315563575311194,0.9677405870594802
1984,1001,Caribbean,EFConsPerCap,0.2800553726869583,0.16388772353239806,0.11477981658848152,0.08151081142383713,0.027776498830665155,0.3690736203031197,1.0370838433654601
1983,1001,Caribbean,EFConsPerCap,0.29830703635628397,0.16472758764949513,0.11764785562933017,0.09337598372732853,0.025914388024163428,0.3343237001051976,1.034296551491799
1978,1001,Caribbean,EFConsPerCap,0.2640763330513309,0.17890602529794944,0.1452450440869175,0.11458850950340459,0.023822418589681222,0.6386299436007092,1.3652682741299942
1982,1001,Caribbean,EFConsPerCap,0.28475765753825333,0.16555521747044544,0.12021979584390273,0.07525738113580362,0.025317215570818893,0.41175506041387955,1.0828623279731036
1980,1001,Caribbean,EFConsPerCap,0.2916558291093228,0.17468543432871264,0.12696988568790044,0.11141938824083046,0.023358964165389684,0.6742693047821389,1.402358806314296
1979,1001,Caribbean,EFConsPerCap,0.2726688805821785,0.1766807324819439,0.11955052943076824,0.11292331608729286,0.023643420207741794,0.6875660716029633,1.3930329503928887
1977,1001,Caribbean,EFConsPerCap,0.28010504353285204,0.1818644948997573,0.13160505217855004,0.09788963358913488,0.023210121885617264,0.7148045337320663,1.4294788798179774
1976,1001,Caribbean,EFConsPerCap,0.2919640730261552,0.18251924397758565,0.13093001305145083,0.0939825588217207,0.024754811737172856,0.5590369453077136,1.2831876459217988
1975,1001,Caribbean,EFConsPerCap,0.2549725648833442,0.185021745059408,0.12229094564046429,0.13285077264770134,0.022612427155471022,0.5590782846034674,1.2768267399898559
1974,1001,Caribbean,EFConsPerCap,0.2613998083516529,0.18410033991745434,0.12386191091393191,0.12007595857589615,0.023831419662667306,0.5207778524251977,1.2340472898468002
1973,1001,Caribbean,EFConsPerCap,0.2729389222275731,0.18722840595838847,0.12810233478533528,0.09318604919507059,0.02529968485003913,0.4885834324932247,1.1953388295096303
1972,1001,Caribbean,EFConsPerCap,0.25390964713864755,0.19445957475739747,0.13170912557860423,0.15707402055040506,0.023946493710425353,0.4161873925240332,1.1772862542595135
1971,1001,Caribbean,EFConsPerCap,0.26178228772411155,0.2053425666653334,0.12382229155411344,0.14720915714914726,0.02388104007361982,0.38134078919682046,1.143378132363146
1987,1001,Caribbean,EFConsPerCap,0.3081438962596627,0.1536943853105479,0.11371061508740385,0.0647429244628344,0.026160075105617662,0.36369953080671197,1.0301514270327776
1988,1001,Caribbean,EFConsPerCap,0.2911014472746686,0.14433069073144114,0.11484429635080907,0.10221351223560003,0.025245663595198337,0.37864031963402434,1.0563759298217401
1989,1001,Caribbean,EFConsPerCap,0.3011107707284265,0.1446245073038177,0.11616699547285655,0.06699917046763142,0.026578477266438243,0.37032099217634784,1.025800913415518
1990,1001,Caribbean,EFConsPerCap,0.28834858937342106,0.13657034598466178,0.11456626800142634,0.06706962431311067,0.025813742189573906,0.3230860312435389,0.9554546011057321
1981,1001,Caribbean,EFConsPerCap,0.27623363289110137,0.16726675950815814,0.12361371047253174,0.10533279203566696,0.023157336779662037,0.4221715831255601,1.117775814812681
