year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
2008,1003,Central Asia,BiocapPerCap,0.365861503251664,0.6791109325632823,0.1214927199768327,0.055665427233590255,0.0762235490116554,0.0,1.2983541320370242
2007,1003,Central Asia,BiocapPerCap,0.3890850018913154,0.6847184777540082,0.12248204410511693,0.05605447008945978,0.07958296407025876,0.0,1.3319229579101586
2006,1003,Central Asia,BiocapPerCap,0.38518819253650327,0.6922518176405517,0.12326650895739986,0.05664788295756491,0.08068175140538063,0.0,1.3380361534973992
2005,1003,Central Asia,BiocapPerCap,0.4025769243600578,0.7021887478513531,0.12405023297526126,0.05734303746979864,0.08464671021073192,0.0,1.3708056528672028
2004,1003,Central Asia,BiocapPerCap,0.4322986958342606,0.7116378770209129,0.12504783435062916,0.05816384346730627,0.08508886854538568,0.0,1.4122371192184955
2003,1003,Central Asia,BiocapPerCap,0.44091875961800453,0.7262570449836087,0.12637825012966597,0.05893362290049978,0.08301004851010756,0.0,1.4354977261418866
2002,1003,Central Asia,BiocapPerCap,0.43780242726178126,0.7322590620745388,0.1278362728839364,0.05978952765885223,0.08208185720600022,0.0,1.4397691470851086
2010,1003,Central Asia,EFConsPerCap,0.5169440176009388,0.18239308045359123,0.04297498507755085,0.011576893854601505,0.07999793835173703,0.7021189232738244,1.536005838612245
1999,1003,Central Asia,BiocapPerCap,0.4270489281852094,0.7428928207129748,0.12948435010443768,0.06135080209109473,0.07175872587000806,0.0,1.4325356269637255
1996,1003,Central Asia,EFConsPerCap,0.35735684287238406,0.10243821219788346,0.011291000045431944,0.007404357180582054,0.05556182328833579,0.5873474204256479,1.1213996560102646
1997,1003,Central Asia,EFConsPerCap,0.4182905089026716,0.0719064855016972,0.015342276120719464,0.006430880614750074,0.06647521571333238,0.5179621594623828,1.0964075263155544
1998,1003,Central Asia,EFConsPerCap,0.4247285736570791,0.11762059427543849,0.01668494547968882,0.0051948974273570035,0.06896883921069867,0.5407265966431593,1.173924446693421
1999,1003,Central Asia,EFConsPerCap,0.4284963772943977,0.10782215597649414,0.019352234000127203,0.00435899815695559,0.07175872587000806,0.5115656864199237,1.1433541777179062
2000,1003,Central Asia,EFConsPerCap,0.4519991765678233,0.10359696403887497,0.01781149829275996,0.004289039288788251,0.0706562885261257,0.38001859589229775,1.028371562606671
2001,1003,Central Asia,EFConsPerCap,0.43155188142925743,0.09228648180752252,0.015080046067450135,0.003729823176417763,0.08477160290365356,0.3519635008169987,0.9793833362013012
2002,1003,Central Asia,EFConsPerCap,0.42807751523232024,0.08455792139055095,0.018284675802103096,0.005157961096107619,0.08208185720600022,0.3898585259279459,1.008018456655028
2003,1003,Central Asia,EFConsPerCap,0.44733952131019755,0.11224654451423416,0.020686506177028444,0.008446891605228955,0.08301004851010756,0.4210102145683952,1.0927397266851926
2004,1003,Central Asia,EFConsPerCap,0.42940723578708556,0.10409658369475107,0.026245050146269835,0.007852913703535752,0.08508886854538568,0.3917878132608409,1.0444784651378693
2005,1003,Central Asia,EFConsPerCap,0.44360672773116494,0.10736786079284032,0.02772474111470063,0.0081740232133794,0.08464671021073192,0.4308364013842495,1.1023564644470674
2006,1003,Central Asia,EFConsPerCap,0.4286470999464091,0.11420883311997011,0.029141214859858697,0.010134344064186559,0.08068175140538063,0.47515134831086625,1.137964591706672
2007,1003,Central Asia,EFConsPerCap,0.47527023109565103,0.12475094938371148,0.03749134169133352,0.012537294804872657,0.07958296407025876,0.5201839741166453,1.2498167551624717
2008,1003,Central Asia,EFConsPerCap,0.4489044625689151,0.1460375183089763,0.043235488033355286,0.01176281061665031,0.0762235490116554,0.7476832215578907,1.4738470500974423
2009,1003,Central Asia,EFConsPerCap,0.5191831018090811,0.1433693167588569,0.04678397163407227,0.009249165691974665,0.0885518530466916,0.6830847412719816,1.4902221502126585
2011,1003,Central Asia,EFConsPerCap,0.4747054016363803,0.17974285094490197,0.060091725904962597,0.011553954038732769,0.0781902540041107,0.8161341218469114,1.6204183083759984
2012,1003,Central Asia,EFConsPerCap,0.45960694008098263,0.20759599248057956,0.06488127001985405,0.014843755874172552,0.06929975457906729,1.0135113505780147,1.829739063612674
2013,1003,Central Asia,EFConsPerCap,0.502708388695064,0.20424003288307668,0.07645147687331386,0.014446821541817464,0.0822494363353543,1.002498785969772,1.8825949422983936
