year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1988,1004,Eastern Africa,BiocapPerCap,0.2895627643128062,0.7343743604401949,0.4539768828887778,0.1618122148009838,0.02883816394528187,0.0,1.6685643863880444
1987,1004,Eastern Africa,BiocapPerCap,0.30025292406755116,0.756375242373259,0.4658431380283604,0.166692831569164,0.029193346319156845,0.0,1.7183574823574905
1986,1004,Eastern Africa,BiocapPerCap,0.30816007166555104,0.7808854989120525,0.4794494527216521,0.17211266458160543,0.030010073852962674,0.0,1.7706177617338232
1985,1004,Eastern Africa,BiocapPerCap,0.31469219916241215,0.8049193917582783,0.49604020482621924,0.17771864517243402,0.02913667019198361,0.0,1.8225071111113276
1984,1004,Eastern Africa,BiocapPerCap,0.2967875927160797,0.8319889150881667,0.5124207472665689,0.18396848434012447,0.028367674514239542,0.0,1.8535334139251805
1983,1004,Eastern Africa,BiocapPerCap,0.31444191329184545,0.8602530015625317,0.5297318066706773,0.1902987862060973,0.029426627151747334,0.0,1.924152134882899
1982,1004,Eastern Africa,BiocapPerCap,0.3161791377528939,0.8890471625788885,0.5467785144713055,0.1967798411819548,0.029420299991164352,0.0,1.9782049559762054
1980,1004,Eastern Africa,BiocapPerCap,0.2854843300647542,0.9382485325566408,0.5786172702694166,0.20935561674415823,0.02640262620833191,0.0,2.0381083758433016
1979,1004,Eastern Africa,BiocapPerCap,0.3023287269714159,0.9672149533779469,0.6030095784217394,0.2157524411216248,0.02723422457154278,0.0,2.1155399244642696
1978,1004,Eastern Africa,BiocapPerCap,0.30960219794261246,1.0037263481822687,0.6263330212530972,0.22384732085665346,0.028100447602631192,0.0,2.1916093358372644
1977,1004,Eastern Africa,BiocapPerCap,0.31566890691840516,1.0392178535639116,0.6499823284470141,0.23186798281399815,0.02920352557224053,0.0,2.2659405973155695
1976,1004,Eastern Africa,BiocapPerCap,0.32027034231840756,1.0741354237483667,0.6710181083511817,0.23976662717912517,0.02894581657465732,0.0,2.3341363181717365
1975,1004,Eastern Africa,BiocapPerCap,0.32327513621117876,1.1080521327520645,0.6927716053482158,0.24747467373682835,0.027460138887031204,0.0,2.3990336869353204
1974,1004,Eastern Africa,BiocapPerCap,0.3070012809384855,1.143684802072403,0.7135970699388705,0.2556971723770916,0.026788639029615213,0.0,2.446768964356465
1973,1004,Eastern Africa,BiocapPerCap,0.32132642815745277,1.181598799368536,0.7353646381081066,0.26433115884292596,0.027194950149677478,0.0,2.5298159746266986
1972,1004,Eastern Africa,BiocapPerCap,0.31244255461150644,1.2145924208341652,0.7563417157740943,0.2719052337978677,0.026105032203726165,0.0,2.5813869572213615
1971,1004,Eastern Africa,BiocapPerCap,0.3184595802472543,1.2504813370973802,0.7782322633379795,0.2801152593748829,0.025524647692862397,0.0,2.652813087750359
1970,1004,Eastern Africa,BiocapPerCap,0.32699225543781035,1.2820373747496214,0.8002702293984434,0.28971373916982696,0.02599542775073066,0.0,2.725009026506435
1969,1004,Eastern Africa,BiocapPerCap,0.3150133955215943,1.3203790133231785,0.8254170051222226,0.29868849397578,0.025298374491758497,0.0,2.7847962824345363
1968,1004,Eastern Africa,BiocapPerCap,0.31479943754520157,1.358385713062581,0.8520853465574872,0.3075213791190198,0.025289742509721956,0.0,2.85808161879401
1967,1004,Eastern Africa,BiocapPerCap,0.31982959910258824,1.4028918442170355,0.878981977279373,0.31766910904796525,0.024583096568956613,0.0,2.9439556262159168
1966,1004,Eastern Africa,BiocapPerCap,0.314416350942857,1.446396985629469,0.9051095893917473,0.32753005540256885,0.023369196582730657,0.0,3.016822177949372
1965,1004,Eastern Africa,BiocapPerCap,0.30572736626498964,1.4931112879248263,0.9303181014866648,0.3381355496668058,0.02159230436945602,0.0,3.0888846097127405
1964,1004,Eastern Africa,BiocapPerCap,0.32586386815141083,1.5391443676488636,0.9572228217397378,0.3486150809622479,0.022351324648022298,0.0,3.1931974631502857
1963,1004,Eastern Africa,BiocapPerCap,0.2977988437163501,1.7903368791534073,1.089191591583998,0.3949470195385699,0.023407896299488463,0.0,3.5956822302918146
