year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1992,1006,Eastern Europe,BiocapPerCap,0.7947813305052304,0.37928659039917795,3.102174429918839,0.7712334402645435,0.05402591693383577,0.0,5.101501708021643
1993,1006,Eastern Europe,BiocapPerCap,0.7851302859512553,0.35884072168759557,2.9963241745509905,0.7220065470297208,0.05847385174033059,0.0,4.920775580959907
1994,1006,Eastern Europe,BiocapPerCap,0.7704679580631022,0.3568954751782159,3.0034267453664554,0.7219857239922598,0.057381468473001726,0.0,4.910157371073016
1995,1006,Eastern Europe,BiocapPerCap,0.743691522909536,0.35529372158221734,3.011764306428475,0.7219599901403068,0.05712573789855494,0.0,4.8898352789590875
1996,1006,Eastern Europe,BiocapPerCap,0.7525270960813644,0.35742481903751794,3.017557799895752,0.7227947286569106,0.05476735012608141,0.0,4.905071793797626
1997,1006,Eastern Europe,BiocapPerCap,0.8549293346082467,0.360268688178674,3.0229509592389516,0.7237061476507534,0.0612788942540809,0.0,5.023134023930715
1998,1006,Eastern Europe,BiocapPerCap,0.7386550708544024,0.36158892680335036,3.0304516704422393,0.7255199845504918,0.051987387283471284,0.0,4.908203039933955
1999,1006,Eastern Europe,BiocapPerCap,0.7663846801753142,0.3631494380176293,3.0319987906149213,0.7267930524238252,0.05293019715483336,0.0,4.941256158386522
2000,1006,Eastern Europe,BiocapPerCap,0.757009720879126,0.3659678315853461,3.035871952530914,0.7303419964971487,0.050560928336342445,0.0,4.939752429828863
2001,1006,Eastern Europe,BiocapPerCap,0.906675908455429,0.37018564764287004,3.0687160195061156,0.7337029049053352,0.06529413777732997,0.0,5.144574618287085
2002,1006,Eastern Europe,BiocapPerCap,0.8771182121340548,0.370868148404362,3.0807363295117396,0.7372363102482179,0.06294752397660157,0.0,5.1289065242749805
2003,1006,Eastern Europe,BiocapPerCap,0.8351340555869425,0.3703518669690239,3.0792225498884496,0.736977090554402,0.057777531193956025,0.0,5.079463094192771
2004,1006,Eastern Europe,BiocapPerCap,0.936197417927249,0.36727727013684597,3.083912444200398,0.7384309046279953,0.07335298821839958,0.0,5.199171025110885
2005,1006,Eastern Europe,BiocapPerCap,0.9278415195684702,0.36799923336824464,3.0939962717800578,0.7385073126439001,0.07172599887570788,0.0,5.200070336236385
2006,1006,Eastern Europe,BiocapPerCap,0.9015482425604349,0.3676638875348321,3.1061489979173813,0.7398809619310789,0.06697840727150518,0.0,5.182220497215218
2007,1006,Eastern Europe,BiocapPerCap,0.9275158338218393,0.36724899442615805,3.110913345451894,0.7402133881372019,0.06854970085891166,0.0,5.214441262695988
2008,1006,Eastern Europe,BiocapPerCap,1.0523968113894726,0.3686220839657896,3.108352258452115,0.7428333006783513,0.08253194525795514,0.0,5.354736399743692
2009,1006,Eastern Europe,BiocapPerCap,1.0064877298308217,0.36809047788679516,3.098313554604965,0.7429033346268555,0.07721878315990213,0.0,5.293013880109359
2010,1006,Eastern Europe,BiocapPerCap,0.9097410275097614,0.36630332927873344,3.09560610730413,0.7408319428798932,0.06998088137433087,0.0,5.182463288346853
2011,1006,Eastern Europe,BiocapPerCap,1.0298446824250838,0.36368198353451414,3.0865908728516493,0.7398609560179089,0.08201566472421613,0.0,5.301994159553384
