year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
2014,1011,Northern Africa,BiocapPerCap,0.2580835737725125,0.2992691805864465,0.07013260453538571,0.025677046981286145,0.05136782623677329,0.0,0.7045302321124031
1961,1011,Northern Africa,BiocapPerCap,0.36694772468061937,0.8201529832563714,0.3700645302836658,0.1511291942977522,0.02224676998241562,0.0,1.7305412025008275
1962,1011,Northern Africa,BiocapPerCap,0.3908025989491863,0.7973787128928908,0.3620046385048505,0.14741136223616383,0.026858296202003536,0.0,1.7244556087850953
1963,1011,Northern Africa,BiocapPerCap,0.3822226715633732,0.7760577249268065,0.35373430488495977,0.14381632155425408,0.026925938809216687,0.0,1.6827569617386122
1964,1011,Northern Africa,BiocapPerCap,0.33084843061870367,0.7545612877483093,0.3455343916728496,0.14015830196594695,0.026238085219285532,0.0,1.5973404972250944
1965,1011,Northern Africa,BiocapPerCap,0.3408484763388967,0.7351744625327346,0.3378407331490372,0.13658513612982912,0.027019409413736897,0.0,1.5774682175642367
1966,1011,Northern Africa,BiocapPerCap,0.3068764664463031,0.7157713956322892,0.3307959927274775,0.13297851510457157,0.02514320403654103,0.0,1.5115655739471814
1967,1011,Northern Africa,BiocapPerCap,0.3455432845126038,0.6978233074699931,0.32332464636319147,0.12964177437038402,0.026914889715873674,0.0,1.5232479024320464
1968,1011,Northern Africa,BiocapPerCap,0.32942124264774203,0.6795977003561356,0.3156440919675529,0.12622438417721665,0.027354111216303108,0.0,1.4782415303649494
1969,1011,Northern Africa,BiocapPerCap,0.336202063400757,0.664307192842688,0.30811773113545876,0.12338378833966432,0.02861656453836831,0.0,1.460627340256938
1970,1011,Northern Africa,BiocapPerCap,0.32969715544585304,0.6487408171018777,0.3011540913670883,0.12049259819403117,0.02996835526188596,0.0,1.4300530173707353
1971,1011,Northern Africa,BiocapPerCap,0.32599682682192965,0.6366958996623083,0.29518893147134784,0.11727587881857986,0.030229293404780446,0.0,1.4053868301789463
1972,1011,Northern Africa,BiocapPerCap,0.31613156197198716,0.6202241009155076,0.28865478168076514,0.114394742012719,0.03051771678338696,0.0,1.369922903364366
1973,1011,Northern Africa,BiocapPerCap,0.2789611910510049,0.6003328262073169,0.28231097533454197,0.11172412214265845,0.029966456743245568,0.0,1.3032955714787688
1974,1011,Northern Africa,BiocapPerCap,0.2863413385223065,0.5836815278515911,0.2757788551175726,0.1086254886120973,0.02904112607899542,0.0,1.2834683361825612
1975,1011,Northern Africa,BiocapPerCap,0.3049879200267185,0.5616674978846662,0.2681693056978022,0.10530368814354303,0.03070460419709924,0.0,1.2708330159498282
1976,1011,Northern Africa,BiocapPerCap,0.27991202254828623,0.5436502787313732,0.2594907467587625,0.10191296050130544,0.02997769249692732,0.0,1.2149437010366528
1977,1011,Northern Africa,BiocapPerCap,0.24630068610009975,0.526481727572783,0.2517017053415701,0.09868378762423602,0.028511202727181502,0.0,1.1516791093658691
2015,1011,Northern Africa,BiocapPerCap,0.24702134360010572,0.2921013433947781,0.06778105609021064,0.02506122675975942,0.049124305505952454,0.0,0.6810892753508063
2016,1011,Northern Africa,BiocapPerCap,0.23498668394060646,0.2860702061551865,0.0656373891218104,0.024551657442857238,0.05246178715593016,0.0,0.6637077238163912
2017,1011,Northern Africa,BiocapPerCap,0.24188168521308,0.2796324273721075,0.06366610639097318,0.02401208977062512,0.05232067376655866,0.0,0.6615129825133441
2019,1011,Northern Africa,BiocapPerCap,0.25653834668703684,0.26822409444431855,0.05983483204757563,0.02303812350901847,0.05135064988784302,0.0,0.6589860465757922
2020,1011,Northern Africa,BiocapPerCap,0.26494106821790553,0.26323426922332327,0.05810910737453611,0.022609487639210245,0.054878670231736,0.0,0.6637726026867112
2021,1011,Northern Africa,BiocapPerCap,0.24754948407450056,0.2588565988656553,0.05654021131012008,0.022234207086180614,0.05302120011530404,0.0,0.6382017014517604
2022,1011,Northern Africa,BiocapPerCap,0.25530440604610766,0.2541692588729725,0.055516388873952376,0.02183159309628292,0.05521131659340856,0.0,0.6420329634827241
2023,1011,Northern Africa,BiocapPerCap,0.1983888927417782,0.07213692996218964,0.007660212457297353,0.021256300518346746,0.05964007626778607,0.0,0.3590824119473977
2024,1011,Northern Africa,BiocapPerCap,0.1953605609173311,0.07103578686035876,0.007543282195497584,0.020931831086413857,0.05964015688841308,0.0,0.35451161794801445
2018,1011,Northern Africa,BiocapPerCap,0.2768252647156029,0.2735814605929837,0.06160692346334246,0.023493581335383366,0.056818153078504095,0.0,0.6923253831858163
1978,1011,Northern Africa,BiocapPerCap,0.2510568330172656,0.5111905592440983,0.24394188002732017,0.0958103847251941,0.030019891275212714,0.0,1.1320195482890911
1979,1011,Northern Africa,BiocapPerCap,0.23686344943170964,0.4965434760806698,0.23745787067587562,0.09304963490318664,0.029099375209538453,0.0,1.0930138063009793
1980,1011,Northern Africa,BiocapPerCap,0.23909081786306927,0.48366652425399326,0.2287507484562746,0.09063825711890175,0.030210665261770162,0.0,1.0723570129540085
1981,1011,Northern Africa,BiocapPerCap,0.237911891762442,0.45031051479946455,0.21512534896043525,0.1025346088182142,0.030272434143172162,0.0,1.036154798483728
1982,1011,Northern Africa,BiocapPerCap,0.20672259939177498,0.4353940407850929,0.20859364895840166,0.09916263489747633,0.02844136909258177,0.0,0.9783142931253274
1983,1011,Northern Africa,BiocapPerCap,0.19672991409263857,0.42296938727841626,0.20223219061883918,0.09595261399175238,0.028903086386555626,0.0,0.9467871923682016
1984,1011,Northern Africa,BiocapPerCap,0.17490896849651252,0.4101951423255941,0.19621198725053182,0.0930174127954585,0.02763026350086719,0.0,0.9019637743689636
1985,1011,Northern Africa,BiocapPerCap,0.21252477563223746,0.4017635626409605,0.19116908126102297,0.09022066976673154,0.03182727410349294,0.0,0.9275053634044448
1986,1011,Northern Africa,BiocapPerCap,0.21336712544996647,0.39776469122288355,0.18495470024698565,0.08772431212242666,0.03182504510547805,0.0,0.9156358741477394
1987,1011,Northern Africa,BiocapPerCap,0.20216125930960396,0.3924539519042112,0.1804729717231602,0.08536217750082482,0.031529942392312486,0.0,0.8919803028301134
1988,1011,Northern Africa,BiocapPerCap,0.19360613109849323,0.39087891077979414,0.17660938993034778,0.08328716539984854,0.03243540940304051,0.0,0.8768170066115241
1989,1011,Northern Africa,BiocapPerCap,0.18367922882478008,0.38687294112643533,0.17281005909075575,0.08139101877111726,0.03221106875227793,0.0,0.8569643165653668
1990,1011,Northern Africa,BiocapPerCap,0.1965613385149573,0.377158334035503,0.16929374278293263,0.07937486398751631,0.0333898567611905,0.0,0.8557781360820997
1991,1011,Northern Africa,BiocapPerCap,0.21802185056991957,0.36810335224061275,0.1646952828997491,0.07760080629252639,0.03694317900762103,0.0,0.8653644710104288
1992,1011,Northern Africa,BiocapPerCap,0.2251973681727442,0.36686046034307357,0.16190523738459958,0.07684891772310379,0.039112604394845416,0.0,0.8699245880183649
