year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1961,1012,Northern Europe,BiocapPerCap,0.4577743822293293,0.17934208898911014,1.2668175394409988,0.9961532937101896,0.08796647469008227,0.0,2.9880537790597086
1962,1012,Northern Europe,BiocapPerCap,0.4693654350972059,0.17709323531130625,1.2651853590367652,0.9888231907681152,0.0920198303065724,0.0,2.992487050519966
1963,1012,Northern Europe,BiocapPerCap,0.4598554480179035,0.17410459463467057,1.262752215762894,0.9819970631523574,0.09442671595627283,0.0,2.9731360375240987
1964,1012,Northern Europe,BiocapPerCap,0.489756528970468,0.17146884437461185,1.261957681701407,0.9742619809660034,0.10329650416934588,0.0,3.000741540181836
1965,1012,Northern Europe,BiocapPerCap,0.4904126060844089,0.16848443400174543,1.2602540457735818,0.9660517261430251,0.10943018817593989,0.0,2.994633000178702
1966,1012,Northern Europe,BiocapPerCap,0.4310792836864336,0.16645063953631223,1.2600786773828054,0.9572175152221113,0.09761454918292872,0.0,2.9124406650105925
1967,1012,Northern Europe,BiocapPerCap,0.48147008493135907,0.1653085079149769,1.2606690303294863,0.9502975415660333,0.11398278194726488,0.0,2.971727946689121
1968,1012,Northern Europe,BiocapPerCap,0.4478658988480172,0.1626276333782859,1.2573944918336886,0.9425646119275173,0.10978955375475884,0.0,2.92024218974227
1969,1012,Northern Europe,BiocapPerCap,0.44179633245087446,0.1625337676519474,1.2554010339892996,0.9389783771051032,0.10814860508505718,0.0,2.9068581162822817
1970,1012,Northern Europe,BiocapPerCap,0.43446705676570924,0.15694248444793055,1.2552782808453544,0.934553018458831,0.11257275819651374,0.0,2.8938135987143405
1971,1012,Northern Europe,BiocapPerCap,0.456381991263544,0.1552492918604409,1.2585324394048607,0.9270853976245245,0.11942009590057537,0.0,2.916669216053947
1972,1012,Northern Europe,BiocapPerCap,0.4571518665201585,0.15343711588508,1.2611558343695275,0.9224981952661935,0.12010665299465643,0.0,2.9143496650356147
1973,1012,Northern Europe,BiocapPerCap,0.44484905694394555,0.15298508648357495,1.266630098209607,0.9205073836727357,0.1191171164495381,0.0,2.9040887417593986
1974,1012,Northern Europe,BiocapPerCap,0.4906807377035718,0.15168762729137114,1.2650114737575113,0.9160608158660359,0.13360039931854673,0.0,2.9570410539370386
1975,1012,Northern Europe,BiocapPerCap,0.430589019705868,0.15211529321081335,1.2657026671869176,0.9128195278571248,0.11795659813540661,0.0,2.8791831060961326
1976,1012,Northern Europe,BiocapPerCap,0.38164940281306076,0.1515763140977195,1.264547158454054,0.9111358772240791,0.1070055103804783,0.0,2.81591426296939
1977,1012,Northern Europe,BiocapPerCap,0.4787510127078114,0.1502344874395058,1.2644618983349134,0.9087469021452231,0.13441087300163534,0.0,2.9366051736290895
1978,1012,Northern Europe,BiocapPerCap,0.46168591287274324,0.14978790185143784,1.261452893635867,0.9075757899018752,0.13180335561428436,0.0,2.9123058538762088
1979,1012,Northern Europe,BiocapPerCap,0.47820910111313014,0.15053427727465063,1.2613717574779544,0.9070754051270371,0.1394210042705503,0.0,2.936611545263324
1980,1012,Northern Europe,BiocapPerCap,0.4949314279746012,0.15025025142843995,1.2526900479502903,0.9095737367144477,0.14556284681487736,0.0,2.9530083108826553
1981,1012,Northern Europe,BiocapPerCap,0.5177593310503796,0.14806355679540553,1.2528894885675868,0.9056867255260135,0.15321732792502588,0.0,2.97761642986441
1982,1012,Northern Europe,BiocapPerCap,0.5515659031140396,0.14706396025222485,1.2538599017328655,0.902623870132835,0.16468094219664922,0.0,3.0197945774286152
1983,1012,Northern Europe,BiocapPerCap,0.49492949670995173,0.14576371017567688,1.2571255229630565,0.8992211879109944,0.1497507530365673,0.0,2.946790670796248
1984,1012,Northern Europe,BiocapPerCap,0.631427760675923,0.14472928881035185,1.2540333400101076,0.8955312606948451,0.19183437595708588,0.0,3.1175560261483137
1985,1012,Northern Europe,BiocapPerCap,0.562424354507663,0.14204894034119098,1.2514855249066554,0.89120233619134,0.1695094036491492,0.0,3.0166705595959984
1986,1012,Northern Europe,BiocapPerCap,0.5726500462381625,0.1416578886416166,1.246893897235863,0.8888594861576082,0.17460815048024483,0.0,3.024669468753494
1987,1012,Northern Europe,BiocapPerCap,0.528468263373067,0.14088230249420886,1.2477089013417917,0.8854023671299993,0.1645799602513007,0.0,2.967041794590367
1988,1012,Northern Europe,BiocapPerCap,0.5362454255094007,0.14333700118019446,1.2464164376848232,0.8811067583943577,0.1648324296861895,0.0,2.971938052454965
1989,1012,Northern Europe,BiocapPerCap,0.5643113012529921,0.14309874649768273,1.244317440493921,0.8778642966730279,0.17863625228631555,0.0,3.0082280372039407
1990,1012,Northern Europe,BiocapPerCap,0.5866810373429814,0.14207842590217928,1.2356129506187958,0.8739539160763534,0.18618375638700826,0.0,3.024510086327319
1991,1012,Northern Europe,BiocapPerCap,0.5846580229807852,0.141446402726075,1.234090278406717,0.8714319395670251,0.18476266808420128,0.0,3.0163893117648044
1992,1012,Northern Europe,BiocapPerCap,0.55055551517899,0.1531897706901859,1.3558187138676134,0.9236045615489766,0.1590819088428981,0.0,3.142250470128665
1993,1012,Northern Europe,BiocapPerCap,0.5737150014424643,0.15109341737922477,1.354815190372935,0.920900005937326,0.16557715368436682,0.0,3.166100768816315
1994,1012,Northern Europe,BiocapPerCap,0.5501806544251783,0.1505591356329097,1.3564561193750089,0.9180010268882249,0.16957761609162558,0.0,3.1447745524129482
1995,1012,Northern Europe,BiocapPerCap,0.5704658427515658,0.14813089310552557,1.3571992511916053,0.9144776947494396,0.17665914041589423,0.0,3.1669328222140307
1996,1012,Northern Europe,BiocapPerCap,0.6339439839897348,0.14778641783162882,1.3561634422338438,0.9121207180421655,0.19324677023563097,0.0,3.2432613323330037
1997,1012,Northern Europe,BiocapPerCap,0.6111251779384265,0.1445187381898756,1.3545359589625923,0.9097889138280408,0.18357818185467722,0.0,3.203546970773614
1998,1012,Northern Europe,BiocapPerCap,0.594052837755471,0.14444710677944364,1.3535914395802364,0.9088051273582802,0.18554582072792694,0.0,3.186442332201359
1999,1012,Northern Europe,BiocapPerCap,0.566524890557488,0.1433831398307142,1.3493128124158735,0.9075426445866487,0.1884303232553289,0.0,3.155193810646053
2000,1012,Northern Europe,BiocapPerCap,0.6045211163096501,0.13997955419973385,1.34590084691082,0.9062792492166543,0.1985380052003337,0.0,3.1952187718371934
2001,1012,Northern Europe,BiocapPerCap,0.5375465799745315,0.1460377174258762,1.3532458189664387,0.9053801987222446,0.18040511752892732,0.0,3.1226154326180184
2002,1012,Northern Europe,BiocapPerCap,0.5786307361040921,0.1453219539673092,1.3496960445538155,0.9038651961440012,0.19778426894644144,0.0,3.1752981997156593
2003,1012,Northern Europe,BiocapPerCap,0.5927153243167914,0.14252416297411574,1.3394274315486268,0.8970597747927408,0.20551152313805388,0.0,3.1772382167703275
2004,1012,Northern Europe,BiocapPerCap,0.5726050205075971,0.14154745356027496,1.3312093041853494,0.8919543786758838,0.19360113079959976,0.0,3.1309172877287046
2005,1012,Northern Europe,BiocapPerCap,0.6087923165489153,0.14293587382719738,1.3248472315408564,0.8848498612630442,0.199049614089166,0.0,3.160474897269179
2006,1012,Northern Europe,BiocapPerCap,0.5907418093243217,0.1464871959674131,1.3193485222348555,0.8786450570566771,0.17619545557524624,0.0,3.111418040158511
2007,1012,Northern Europe,BiocapPerCap,0.6112693053676554,0.143040964396187,1.3114407495829437,0.8723483605100893,0.1830598997685029,0.0,3.1211592796253793
2008,1012,Northern Europe,BiocapPerCap,0.6246796166888343,0.14223830825096762,1.3012137028670607,0.8691004859370691,0.2015747424978411,0.0,3.138806856241773
2009,1012,Northern Europe,BiocapPerCap,0.6127891576364193,0.13831431606136885,1.288418374409461,0.863544670918604,0.19132443137790375,0.0,3.0943909504037586
2010,1012,Northern Europe,BiocapPerCap,0.5868650022529542,0.13772312562540645,1.278502981666706,0.8551906910288303,0.19507319083889266,0.0,3.053354991412788
2011,1012,Northern Europe,BiocapPerCap,0.5833079733687494,0.13570733370200838,1.2667069692053479,0.8480980024820877,0.1910139566347766,0.0,3.0248342353929716
2012,1012,Northern Europe,BiocapPerCap,0.5776495244958405,0.13340483818137808,1.255930761577707,0.8382005798656619,0.18152953606515207,0.0,2.986715240185739
2013,1012,Northern Europe,BiocapPerCap,0.580737259028199,0.133000978007937,1.2447883229461938,0.832064085688653,0.18019818928075826,0.0,2.9707888349517417
2014,1012,Northern Europe,BiocapPerCap,0.6480801788196456,0.13150535813761438,1.2360509885299487,0.826756262152043,0.2078481744529427,0.0,3.0502409620921953
1975,1012,Northern Europe,EFConsPerCap,0.6911488079481589,0.42249872893502105,0.6995981025538419,0.5564358594348675,0.11795659813540661,4.333897266138249,6.821535363145546
