year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
2001,1015,South-Eastern Asia,EFConsPerCap,0.28981553464763704,0.023391809378153248,0.2184775427213561,0.16421192181703823,0.04254102120558595,0.4912674011987318,1.2297052309685035
2000,1015,South-Eastern Asia,EFConsPerCap,0.29203766802777026,0.02597270839844683,0.23084930746035864,0.16611904361909827,0.041695066948056365,0.4539782597840496,1.210652054237781
1999,1015,South-Eastern Asia,EFConsPerCap,0.28272997562618174,0.024668147123167592,0.2351176877949373,0.1570807043133172,0.04071342318706866,0.4325111267184129,1.172821064763087
1998,1015,South-Eastern Asia,EFConsPerCap,0.26768638942753115,0.021177350437692515,0.23856544033301777,0.15291500378676534,0.04161024099858853,0.3983497516844526,1.120304176668048
1997,1015,South-Eastern Asia,EFConsPerCap,0.26361518131289435,0.026895566901792057,0.25018072562047095,0.14789714587672265,0.040935435270419505,0.4487420599059072,1.1782661148882057
1996,1015,South-Eastern Asia,EFConsPerCap,0.2736679980865312,0.025397179309719985,0.2589260114700256,0.15290470795781957,0.04096935719874284,0.4561249631932721,1.2079902172161114
1995,1015,South-Eastern Asia,EFConsPerCap,0.26345944066029037,0.02383919395822474,0.26513470077288587,0.14808773471532774,0.03935285410019077,0.42517423022619183,1.1650481544331106
1994,1015,South-Eastern Asia,EFConsPerCap,0.25164360298905325,0.021665278248012378,0.279213165692875,0.14587772413030275,0.03962521300183782,0.376469646545714,1.1144946306077963
1993,1015,South-Eastern Asia,EFConsPerCap,0.23956295432044697,0.018888217716291494,0.28678029439029645,0.1370073178288311,0.03856812931150713,0.32563631755523903,1.0464432311226113
1992,1015,South-Eastern Asia,EFConsPerCap,0.24068510446555585,0.018865960968357378,0.29631764894239127,0.14418830768724844,0.03857777896401702,0.2951494778102849,1.0337842788378553
1991,1015,South-Eastern Asia,EFConsPerCap,0.24298927178253246,0.01641114273407001,0.29923322611660835,0.14535574909062782,0.0362207741223305,0.2914139497182002,1.0316241135643698
1990,1015,South-Eastern Asia,EFConsPerCap,0.2497881288423715,0.016087507762759776,0.3077938110981524,0.15016647908458994,0.035652956963792004,0.2849374681561523,1.0444263519078179
1989,1015,South-Eastern Asia,EFConsPerCap,0.23684790108034942,0.015714855602016332,0.30828630787392325,0.15722392543641758,0.034644777353989784,0.24478138938207647,0.9974991567287739
1988,1015,South-Eastern Asia,EFConsPerCap,0.2479079644535996,0.015154333581745599,0.313544819602957,0.1532487509712031,0.03297337499971958,0.23417199091621094,0.9970012345254369
1987,1015,South-Eastern Asia,EFConsPerCap,0.24766635988739513,0.014542434480921625,0.32070108563527167,0.15080618509197474,0.033050957683859815,0.2122202908410899,0.9789873136205127
1986,1015,South-Eastern Asia,EFConsPerCap,0.23395191886874878,0.01336683765795838,0.32272421042230093,0.14605004427196946,0.033996485374130955,0.19485250858226272,0.9449420051773727
1985,1015,South-Eastern Asia,EFConsPerCap,0.23759377730532294,0.012357118258078333,0.32707524602448446,0.1404844966387729,0.033424081476584155,0.18836692125139773,0.9393016409546392
