year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1982,1016,Southern Africa,EFConsPerCap,0.25657040529998293,0.23946036775405125,0.38172037993309993,0.19548306253840547,0.019442352964651414,2.3768903412696667,3.469566909759851
1981,1016,Southern Africa,EFConsPerCap,0.5178956628985169,0.15817970907051362,0.4069765539045269,0.20878086618926325,0.02719022333736354,2.5928649655486065,3.9118879809487774
1980,1016,Southern Africa,EFConsPerCap,0.37017878007984456,0.1924526726042415,0.3840272244111663,0.1898839926836204,0.021698597114846774,2.549918178821807,3.7081594457155127
1979,1016,Southern Africa,EFConsPerCap,0.3050687577954201,0.22034290423802871,0.3293923999860337,0.19985332274077672,0.018763646177892706,2.750207651713252,3.8236286826513926
1978,1016,Southern Africa,EFConsPerCap,0.3783058823188767,0.18945244243828058,0.30406639159297294,0.21619175448135267,0.021717006626739407,2.679037044876722,3.7887705223349344
1977,1016,Southern Africa,EFConsPerCap,0.4261947213195465,0.14803758265065808,0.2950279730921386,0.1881846695783969,0.020883810440924345,2.983822995016886,4.062151752098545
1976,1016,Southern Africa,EFConsPerCap,0.32150720491808066,0.16523178943079422,0.35039972673350794,0.20886313746296303,0.018021524927897114,3.101360600688878,4.165383984162113
1975,1016,Southern Africa,EFConsPerCap,0.3468141033512678,0.20939946458546552,0.3618417753401734,0.26447358034898555,0.019375147084948908,3.1129369355459073,4.314841006256731
1974,1016,Southern Africa,EFConsPerCap,0.5022069169559158,0.23162846089017863,0.3988864550793197,0.2789732806427958,0.02329801156608665,2.878599273001208,4.313592398135503
1973,1016,Southern Africa,EFConsPerCap,0.2238888048031182,0.13754666514191408,0.3854309005262065,0.300746932323749,0.013332080673307167,2.6642874094830638,3.7252327929513585
1972,1016,Southern Africa,EFConsPerCap,0.3716082629256126,0.0,0.38485769756086885,0.25728574059288434,0.019907819347777706,2.348741172655573,3.382400693082714
1971,1016,Southern Africa,EFConsPerCap,0.43868853026610627,0.14719256055740554,0.42035325755992864,0.2688657187508167,0.018835721081634508,2.514592365530949,3.8085281537468414
1970,1016,Southern Africa,EFConsPerCap,0.3786837344786139,0.13884378472827127,0.43460637033975535,0.2710948330732657,0.015328433822964551,2.3183474116161937,3.556904568059061
1969,1016,Southern Africa,EFConsPerCap,0.3800086566938335,0.08103022166100617,0.4270549273870071,0.3569992136832281,0.013883065488426018,2.0736035051272794,3.33257959004078
1968,1016,Southern Africa,EFConsPerCap,0.1492356093527769,0.07490233894288781,0.4056991843656654,0.40768717739846794,0.013669816105487993,2.0905643264967053,3.1417584526619935
1967,1016,Southern Africa,EFConsPerCap,0.578353337798297,0.09608755039722597,0.4305164018283655,0.3975579127749293,0.019717014619254264,2.118197009369777,3.6404292267878464
1966,1016,Southern Africa,EFConsPerCap,0.46206379671020276,0.011439597121041548,0.4389199794761579,0.3367396013759826,0.011729322325598035,1.8948075191491476,3.155699816158132
1965,1016,Southern Africa,EFConsPerCap,0.35172933591091143,0.06251841715402352,0.3352777687780333,0.2815127890796849,0.011102891696583503,1.842149559054453,2.884290761673689
1964,1016,Southern Africa,EFConsPerCap,0.2841545931480603,0.136560955547684,0.2805341988124447,0.29442360708450477,0.011614547404855428,1.816411796466906,2.8236996984644547
