year,countryCode,countryName,record,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon,total
1980,1020,Western Asia,BiocapPerCap,0.9943308943837363,0.12883453578574178,0.8959295098905609,0.136104397882106,0.02463123039060881,0.0,2.179830568332758
1981,1020,Western Asia,BiocapPerCap,0.9865046672789384,0.12586844524007737,0.8778776722485406,0.1329709370804711,0.0252842476091546,0.0,2.1485059694571773
1982,1020,Western Asia,BiocapPerCap,0.967156157717959,0.12291120141108866,0.8590645475012922,0.12984682219714155,0.027652084959162673,0.0,2.106630813786636
1983,1020,Western Asia,BiocapPerCap,0.8598113540902974,0.11993223486645205,0.8385398700010634,0.1265037981937236,0.027075699673774198,0.0,1.97186295682531
1984,1020,Western Asia,BiocapPerCap,0.8980168403281525,0.1171505006600599,0.7984951480310005,0.220013632769632,0.02764077500374442,0.0,2.0613168967925937
1985,1020,Western Asia,BiocapPerCap,0.8953558122592161,0.11846903050466552,0.7789076168404201,0.21417194634860748,0.029035116834808312,0.0,2.0359395227877206
1986,1020,Western Asia,BiocapPerCap,0.9391194668715382,0.11990222479153134,0.7589926779176471,0.2091067421680355,0.03123076483123568,0.0,2.0583518765799944
1987,1020,Western Asia,BiocapPerCap,0.9306981034482833,0.12225930305942913,0.7434720090759499,0.20417483999214628,0.031613818202062875,0.0,2.0322180737778686
1988,1020,Western Asia,BiocapPerCap,0.9566019361427529,0.11934750705482357,0.7288306825980254,0.19932236766636635,0.03338892333046767,0.0,2.037491416792429
1989,1020,Western Asia,BiocapPerCap,0.7736064511961785,0.12164227527408165,0.714001674087254,0.19486834943305145,0.02776763087682952,0.0,1.8318863808674004
1990,1020,Western Asia,BiocapPerCap,0.9019371565294944,0.11892124216837921,0.6983910058300457,0.1905093120106897,0.0333578160944328,0.0,1.943116532633037
1991,1020,Western Asia,BiocapPerCap,0.876502940839548,0.12014161415637731,0.6863108687560774,0.18673593454677398,0.032596097272835405,0.0,1.9022874555716138
1997,1020,Western Asia,BiocapPerCap,0.7310305970742594,0.11099941313830765,0.605492668066081,0.1614480571316853,0.03396515669917854,0.0,1.6429358921095147
1998,1020,Western Asia,BiocapPerCap,0.8166692891320907,0.11403980017657239,0.5974659043955112,0.15914850377771073,0.03795599210941014,0.0,1.7252794895912935
1999,1020,Western Asia,BiocapPerCap,0.6993466246809906,0.11430871906062266,0.5744489989334584,0.1687551749860539,0.03658391779345288,0.0,1.5934434354545821
2000,1020,Western Asia,BiocapPerCap,0.7510401458361525,0.11749596429531745,0.5663909248532766,0.16647463744881455,0.03830048605487737,0.0,1.639702158488436
2001,1020,Western Asia,BiocapPerCap,0.6918305979145265,0.11983877532288395,0.5645760481089366,0.16429854389743856,0.036060926116426216,0.0,1.5766048913602142
2002,1020,Western Asia,BiocapPerCap,0.7281740844809959,0.11894009935656746,0.5587472208440063,0.1621895029016837,0.037722494780526174,0.0,1.6057734023637757
2003,1020,Western Asia,BiocapPerCap,0.7154798208384259,0.11736125975580808,0.5506894649182471,0.1593088252827272,0.03813294356068295,0.0,1.580972314355889
2004,1020,Western Asia,BiocapPerCap,0.741950982282066,0.11602443063532507,0.5435772261053405,0.1567790482418437,0.03951362850843449,0.0,1.5978453157730097
2006,1020,Western Asia,BiocapPerCap,0.7629322544460628,0.11377088447314049,0.5307044194800481,0.15109886817025078,0.04272343031144194,0.0,1.6012298568809435
2007,1020,Western Asia,BiocapPerCap,0.674640777015223,0.11170004294648442,0.5236473510226218,0.14840861149392975,0.04036373789215716,0.0,1.4987605203704133
2009,1020,Western Asia,BiocapPerCap,0.6886326539170335,0.10845493167695389,0.5081175056603473,0.14412616607491957,0.0425824019143874,0.0,1.4919136592436437
2010,1020,Western Asia,BiocapPerCap,0.7072709659233204,0.1062089213276285,0.500834038680366,0.14130393028599542,0.04487118803221581,0.0,1.5004890442495287
2011,1020,Western Asia,BiocapPerCap,0.7022919784731101,0.10390951521043189,0.49267281170466787,0.1385622154248537,0.04947717876553429,0.0,1.4869136995785976
2012,1020,Western Asia,BiocapPerCap,0.6951527687722785,0.10122461181286359,0.4840863268833713,0.1351605356723324,0.048731215433131504,0.0,1.4643554585739755
