Country Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total
Germany,1961,BiocapTotGHA,6307304.98263654,0.0,21725752.5172367,6387778.02642233,58697018.7415022,9635391.8481632,102753246.115961
Germany,1961,EFConsTo200tGHA,6307304.98263654,199809154.971707,40141900.6283335,19355267.9784116,34924012.4865288,23145598.9902672,323683240.037885
Germany,1962,BiocapTotGHA,7493195.77237356,0.0,25540618.4922485,6380545.27979639,58753033.7613047,9670533.22339202,107837926.529115
Germany,1962,EFConsTotGHA,7493195.77237356,205983751.807848,47889684.8018282,20846860.6920826,36101498.1593735,24347206.8995464,342662198.133052
Germany,1963,BiocapTotGHA,7740104.3428159,0.0,26108574.2110286,6376663.19360037,58751589.4934134,9699200.76617042,108676132.007029
Germany,1963,EFConsTotGHA,7740104.3428159,203163736.621942,44324673.5962055,22693645.500493,32689317.9956009,23769644.6886251,334381122.745682
Germany,1964,BiocapTotGHA,7824397.59243912,0.0,26170457.6428973,6369859.32042178,58760493.7239991,9748842.81466829,108874051.094426
Germany,1964,EFConsTotGHA,7824397.59243912,202762300.674939,45531928.8062094,18942689.7477021,35259518.5281445,23532480.2380758,333853315.58751
Germany,1965,BiocapTotGHA,7492901.97462984,0.0,24867797.8000763,6361243.90392778,58828517.8764655,9830330.96005374,107380792.515153
Germany,1965,EFConsTotGHA,7492901.97462984,201480663.699955,45405063.2060068,22477050.2220143,36472957.4564719,24272200.0386959,337600836.597774
Germany,1966,BiocapTotGHA,7444515.43863968,0.0,24507615.7958672,6344644.14148767,58962796.8621686,9808242.41116799,107067814.649331
Germany,1966,EFConsTotGHA,7444515.43863968,210841278.084825,46124379.4184037,23484336.1068363,37303641.0327698,22260335.5628334,347458485.644308
Germany,1967,BiocapTotGHA,9222429.80402845,0.0,29811724.9753648,6338574.91950653,58976394.7706837,9770935.76996767,114120060.239551
Germany,1967,EFConsTotGHA,9222429.80402845,226608990.307611,50400782.3273941,25964419.1048099,34995409.1899789,20544935.4468953,367736966.180718
Germany,1968,BiocapTotGHA,9250368.41502087,0.0,29671231.5414088,6323363.84306155,58911046.0111627,9632413.26494737,113788423.075601
Germany,1968,EFConsTotGHA,9250368.41502087,238977773.479851,50413944.9898002,25958356.5135356,38699226.7914653,22548711.4803458,385848381.670018
Germany,1969,BiocapTotGHA,9010489.1410962,0.0,28709782.5137822,6330604.47591991,58799364.3714105,9631597.89974784,112481838.401957
Germany,1969,EFConsTotGHA,9010489.1410962,257028509.56758,50226768.1419269,22462877.5138528,44464271.4539221,23466054.6031762,406658970.421555
Germany,1970,BiocapTotGHA,8491508.91969186,0.0,26748908.7102246,6329473.64107954,58712108.1252351,9470316.66058713,109752316.056818
Germany,1970,EFConsTotGHA,8491508.91969186,390168993.383673,51742012.991849,19376054.5575482,46205108.1489165,22596565.2002633,538580243.201942
Germany,1971,BiocapTotGHA,9437403.04531044,0.0,29677273.2906309,6307288.19479227,58925942.0064981,9352628.12274396,113700534.659976
Germany,1971,EFConsTotGHA,9437403.04531044,384833503.065058,55188534.9870025,16497970.4077572,45837263.5226838,22721288.9013544,534515963.929167
Germany,1972,BiocapTotGHA,9595052.61079246,0.0,30219200.1715443,6300650.8567504,58906735.9184604,9306465.21785234,114328104.7754
Germany,1972,EFConsTotGHA,9595052.61079246,368062837.703816,58607361.216369,15410786.2021355,43848258.3495486,24881709.8525175,520406005.935179
Germany,1973,BiocapTotGHA,9813049.28506309,0.0,30920744.0878142,6304573.98354131,58922121.3543887,9250087.41859226,115210576.1294
Germany,1973,EFConsTotGHA,9813049.28506309,403121339.364694,56987550.8054549,15725838.2551005,48789006.9493341,20167191.632766,554603976.292412
Germany,1974,BiocapTotGHA,10615019.9308989,0.0,33547599.3560265,6287222.71267051,58796340.4832376,9121233.62562452,118367416.108458
Germany,1974,EFConsTotGHA,10615019.9308989,386015921.685457,57405679.5627766,17016210.0601646,45020163.5725177,17743243.4134911,533816238.225306
Germany,1975,BiocapTotGHA,10251808.270362,0.0,32530359.4363247,6274443.31490326,58961587.4537083,9045138.85493514,117063337.330233
Germany,1975,EFConsTotGHA,10251808.270362,387065964.396663,56104554.3887013,15229468.6754891,40297847.5288328,19696733.2997716,528646376.55982
Germany,1976,BiocapTotGHA,8510586.92355253,0.0,27174078.1698575,6267842.77811041,58901192.8585063,8955550.19245537,109809250.922482
Germany,1976,EFConsTotGHA,8510586.92355253,392146384.211231,55587211.1223974,14446684.0985424,44838361.7912442,22208611.8763958,537737840.023363
Germany,1977,BiocapTotGHA,10017395.1056212,0.0,32044625.997761,6254187.23587161,59191220.2047463,8885272.0645396,116392700.60854
Germany,1977,EFConsTotGHA,10017395.1056212,378752388.612043,58663997.9772198,11919110.1147113,47037894.7658753,20403363.6969952,526794150.272466
Germany,1978,BiocapTotGHA,10384806.7588621,0.0,33326302.9307177,6249675.86861479,59049963.8544119,8814091.6456766,117824841.058283
Germany,1978,EFConsTotGHA,10384806.7588621,402431954.613067,62375560.0486931,10363868.2115567,48281463.7949297,19844153.2921882,553681806.719297
Germany,1979,BiocapTotGHA,10546659.7358632,0.0,33872921.8316388,6251609.31149671,59007858.2331849,8762296.43811284,118441345.550296
Germany,1979,EFConsTotGHA,10546659.7358632,426409804.825543,62797207.2628557,9268218.58714134,49288767.8231479,20230720.119694,578541378.354245
