Year,Sector,Energy_source,PJ
1990,Agriculture,District heat,0.0
1990,Agriculture,Electricity,0.0
1990,Agriculture,Hard coal,0.0
1990,Agriculture,Lignite,0.0
1990,Agriculture,Natural gas & LPG,0.0
1990,Agriculture,Other,0.0
1990,Agriculture,Petroleum,0.0
1990,Agriculture,Renewables,0.0
1990,Building,District heat,282.0
1990,Building,Electricity,841.0
1990,Building,Hard coal,70.0
1990,Building,Lignite,607.0
1990,Building,Natural gas & LPG,827.0
1990,Building,Other,0.0
1990,Building,Petroleum,1381.0
1990,Building,Renewables,40.0
1990,Industry,District heat,101.0
1990,Industry,Electricity,748.0
1990,Industry,Hard coal,501.0
1990,Industry,Lignite,368.0
1990,Industry,Natural gas & LPG,714.0
1990,Industry,Other,0.0
1990,Industry,Petroleum,351.0
1990,Industry,Renewables,15.0
1990,Transportation,District heat,0.0
1990,Transportation,Electricity,49.0
1990,Transportation,Hard coal,1.0
1990,Transportation,Lignite,0.0
1990,Transportation,Natural gas & LPG,0.0
1990,Transportation,Other,0.0
1990,Transportation,Petroleum,2329.0
1990,Transportation,Renewables,0.0
1991,Agriculture,District heat,0.0
1991,Agriculture,Electricity,0.0
1991,Agriculture,Hard coal,0.0
1991,Agriculture,Lignite,0.0
1991,Agriculture,Natural gas & LPG,0.0
1991,Agriculture,Other,0.0
1991,Agriculture,Petroleum,0.0
1991,Agriculture,Renewables,0.0
1991,Building,District heat,293.0
1991,Building,Electricity,862.0
1991,Building,Hard coal,81.0
1991,Building,Lignite,359.0
1991,Building,Natural gas & LPG,978.0
1991,Building,Other,0.0
1991,Building,Petroleum,1568.0
1991,Building,Renewables,39.0
1991,Industry,District heat,85.0
1991,Industry,Electricity,698.0
1991,Industry,Hard coal,450.0
1991,Industry,Lignite,196.0
1991,Industry,Natural gas & LPG,709.0
1991,Industry,Other,0.0
1991,Industry,Petroleum,387.0
1991,Industry,Renewables,5.0
1991,Transportation,District heat,0.0
1991,Transportation,Electricity,55.0
1991,Transportation,Hard coal,1.0
1991,Transportation,Lignite,0.0
1991,Transportation,Natural gas & LPG,0.0
1991,Transportation,Other,0.0
1991,Transportation,Petroleum,2372.0
1991,Transportation,Renewables,0.0
1992,Agriculture,District heat,0.0
1992,Agriculture,Electricity,0.0
1992,Agriculture,Hard coal,0.0
1992,Agriculture,Lignite,0.0
1992,Agriculture,Natural gas & LPG,0.0
1992,Agriculture,Other,0.0
1992,Agriculture,Petroleum,0.0
1992,Agriculture,Renewables,0.0
1992,Building,District heat,287.0
1992,Building,Electricity,867.0
