Year,Agriculture,Building,Energy industry,Industry,Traffic,Waste management and other
1990,6.8,16.8,37.9,22.2,13.0,3.3
1991,6.3,17.3,38.1,20.9,13.8,3.6
1992,6.4,16.4,37.7,20.8,14.9,3.8
1993,6.4,17.2,37.1,20.2,15.4,3.8
1994,6.5,16.5,37.2,20.8,15.3,3.7
1995,6.6,16.7,36.2,21.1,15.7,3.7
1996,6.6,18.5,36.2,19.8,15.4,3.4
1997,6.6,17.9,35.4,20.8,15.9,3.3
1998,6.7,17.6,36.2,19.8,16.6,3.1
1999,7.0,16.5,36.4,19.4,17.7,3.0
2000,6.9,16.0,37.5,19.4,17.3,2.8
2001,6.9,17.7,37.9,18.2,16.7,2.6
2002,6.8,16.8,38.7,18.3,16.8,2.5
2003,6.8,15.7,40.6,18.4,16.1,2.3
2004,6.8,15.3,41.0,18.8,15.9,2.1
2005,6.9,15.9,40.7,18.8,15.7,2.0
2006,6.7,16.3,40.2,19.0,16.0,1.8
2007,7.0,12.7,42.2,20.7,15.8,1.7
2008,7.0,15.2,40.0,20.1,16.2,1.5
2009,7.5,15.2,40.1,18.8,16.8,1.5
2010,7.3,15.4,40.1,19.8,16.2,1.3
2011,7.6,13.7,40.6,20.1,16.8,1.2
2012,7.5,14.2,41.4,19.3,16.4,1.1
2013,7.5,14.9,41.1,19.0,16.6,1.0
2014,8.0,13.5,40.6,19.7,17.2,1.0
2015,7.9,14.0,39.0,20.3,17.9,0.9
2016,7.9,13.5,38.6,20.8,18.3,0.9
2017,7.9,13.7,37.0,21.8,18.7,0.9
2018,8.0,13.6,36.4,21.7,19.4,0.8
2019,8.4,15.3,32.4,22.5,20.6,0.8
2020,9.1,16.7,29.9,23.5,20.0,0.8
2021,8.5,15.7,32.4,23.7,19.0,0.8
2022,8.5,14.8,34.3,22.0,19.7,0.8
2023,9.4,15.3,30.1,22.8,21.6,0.8
2024,9.6,15.5,28.5,23.6,22.0,0.8
