"CO2 emissions by sector in Germany",Value,Year,Units
"Electricity and heat producers",335.237,2000, Mt CO2
"Electricity and heat producers",349.396,2001, Mt CO2
"Electricity and heat producers",350.094,2002, Mt CO2
"Electricity and heat producers",360.909,2003, Mt CO2
"Electricity and heat producers",354.937,2004, Mt CO2
"Electricity and heat producers",350.59,2005, Mt CO2
"Electricity and heat producers",354.652,2006, Mt CO2
"Electricity and heat producers",367.874,2007, Mt CO2
"Electricity and heat producers",346.877,2008, Mt CO2
"Electricity and heat producers",320.115,2009, Mt CO2
"Electricity and heat producers",338.044,2010, Mt CO2
"Electricity and heat producers",330.917,2011, Mt CO2
"Electricity and heat producers",341.63,2012, Mt CO2
"Electricity and heat producers",346.304,2013, Mt CO2
"Electricity and heat producers",327.324,2014, Mt CO2
"Electricity and heat producers",322.596,2015, Mt CO2
"Electricity and heat producers",321.808,2016, Mt CO2
"Electricity and heat producers",303.887,2017, Mt CO2
"Electricity and heat producers",287.113,2018, Mt CO2
"Electricity and heat producers",239.062,2019, Mt CO2
"Electricity and heat producers",203.956,2020, Mt CO2
"Electricity and heat producers",233.522,2021, Mt CO2
"Electricity and heat producers",238.056,2022, Mt CO2
"Transport Sector",173.47,2000, Mt CO2
"Transport Sector",169.536,2001, Mt CO2
"Transport Sector",167.123,2002, Mt CO2
"Transport Sector",164.036,2003, Mt CO2
"Transport Sector",163.989,2004, Mt CO2
"Transport Sector",155.629,2005, Mt CO2
"Transport Sector",153.483,2006, Mt CO2
"Transport Sector",148.38,2007, Mt CO2
"Transport Sector",148.893,2008, Mt CO2
"Transport Sector",147.059,2009, Mt CO2
"Transport Sector",148.123,2010, Mt CO2
"Transport Sector",149.942,2011, Mt CO2
"Transport Sector",148.513,2012, Mt CO2
"Transport Sector",152.366,2013, Mt CO2
"Transport Sector",154.573,2014, Mt CO2
"Transport Sector",157.59,2015, Mt CO2
"Transport Sector",161.024,2016, Mt CO2
"Transport Sector",163.491,2017, Mt CO2
"Transport Sector",157.66,2018, Mt CO2
"Transport Sector",160.038,2019, Mt CO2
"Transport Sector",142.451,2020, Mt CO2
"Transport Sector",139.872,2021, Mt CO2
"Transport Sector",140.957,2022, Mt CO2
"Industry Sector",102.739,2000, Mt CO2
"Industry Sector",96.44,2001, Mt CO2
"Industry Sector",95.843,2002, Mt CO2
"Industry Sector",98.571,2003, Mt CO2
"Industry Sector",97.065,2004, Mt CO2
"Industry Sector",94.771,2005, Mt CO2
"Industry Sector",96.659,2006, Mt CO2
"Industry Sector",96.048,2007, Mt CO2
"Industry Sector",99.868,2008, Mt CO2
"Industry Sector",86.868,2009, Mt CO2
"Industry Sector",98.351,2010, Mt CO2
"Industry Sector",97.181,2011, Mt CO2
"Industry Sector",94.249,2012, Mt CO2
"Industry Sector",93.804,2013, Mt CO2
"Industry Sector",91.246,2014, Mt CO2
"Industry Sector",95.118,2015, Mt CO2
"Industry Sector",93.219,2016, Mt CO2
"Industry Sector",95.138,2017, Mt CO2
"Industry Sector",98.339,2018, Mt CO2
"Industry Sector",93.43,2019, Mt CO2
"Industry Sector",93.357,2020, Mt CO2
"Industry Sector",93.744,2021, Mt CO2
"Industry Sector",88.454,2022, Mt CO2
"Residential",118.889,2000, Mt CO2
"Residential",130.295,2001, Mt CO2
"Residential",121.661,2002, Mt CO2
"Residential",120.075,2003, Mt CO2
"Residential",112.914,2004, Mt CO2
"Residential",110.34,2005, Mt CO2
"Residential",112.654,2006, Mt CO2
"Residential",86.823,2007, Mt CO2
"Residential",104.106,2008, Mt CO2
"Residential",96.991,2009, Mt CO2
"Residential",103.998,2010, Mt CO2
"Residential",87.679,2011, Mt CO2
"Residential",93.607,2012, Mt CO2
"Residential",99.079,2013, Mt CO2
"Residential",82.549,2014, Mt CO2
"Residential",84.75,2015, Mt CO2
"Residential",89.133,2016, Mt CO2
"Residential",87.541,2017, Mt CO2
"Residential",85.695,2018, Mt CO2
"Residential",90.307,2019, Mt CO2
"Residential",92.256,2020, Mt CO2
"Residential",84.547,2021, Mt CO2
"Residential",85.207,2022, Mt CO2
"Commercial and Public Services",42.133,2000, Mt CO2
"Commercial and Public Services",46.813,2001, Mt CO2
"Commercial and Public Services",43.337,2002, Mt CO2
"Commercial and Public Services",52.758,2003, Mt CO2
"Commercial and Public Services",50.208,2004, Mt CO2
"Commercial and Public Services",49.318,2005, Mt CO2
"Commercial and Public Services",55.56,2006, Mt CO2
"Commercial and Public Services",42.612,2007, Mt CO2
"Commercial and Public Services",49.445,2008, Mt CO2
"Commercial and Public Services",45.646,2009, Mt CO2
"Commercial and Public Services",45.394,2010, Mt CO2
"Commercial and Public Services",40.783,2011, Mt CO2
"Commercial and Public Services",42.39,2012, Mt CO2
"Commercial and Public Services",47.499,2013, Mt CO2
"Commercial and Public Services",43.243,2014, Mt CO2
"Commercial and Public Services",44.866,2015, Mt CO2
"Commercial and Public Services",44.063,2016, Mt CO2
"Commercial and Public Services",44.027,2017, Mt CO2
"Commercial and Public Services",35.165,2018, Mt CO2
"Commercial and Public Services",32.487,2019, Mt CO2
"Commercial and Public Services",31.769,2020, Mt CO2
"Commercial and Public Services",37.45,2021, Mt CO2
"Commercial and Public Services",28.705,2022, Mt CO2
"Agriculture/Forestry",0.738,2000, Mt CO2
"Agriculture/Forestry",0.7,2001, Mt CO2
"Agriculture/Forestry",0.676,2002, Mt CO2
"Agriculture/Forestry",0.129,2003, Mt CO2
"Agriculture/Forestry",0.125,2004, Mt CO2
"Agriculture/Forestry",0.061,2005, Mt CO2
"Agriculture/Forestry",0.032,2006, Mt CO2
"Agriculture/Forestry",0,2007, Mt CO2
"Agriculture/Forestry",0,2008, Mt CO2
"Agriculture/Forestry",0,2009, Mt CO2
"Agriculture/Forestry",0.775,2010, Mt CO2
"Agriculture/Forestry",0.915,2011, Mt CO2
"Agriculture/Forestry",0.752,2012, Mt CO2
"Agriculture/Forestry",0.728,2013, Mt CO2
"Agriculture/Forestry",0.863,2014, Mt CO2
"Agriculture/Forestry",0.745,2015, Mt CO2
"Agriculture/Forestry",0.781,2016, Mt CO2
"Agriculture/Forestry",0.595,2017, Mt CO2
"Agriculture/Forestry",6.986,2018, Mt CO2
"Agriculture/Forestry",7.049,2019, Mt CO2
"Agriculture/Forestry",7.05,2020, Mt CO2
"Agriculture/Forestry",7.19,2021, Mt CO2
"Agriculture/Forestry",7.289,2022, Mt CO2
"Fishing",0,2000, Mt CO2
"Fishing",0,2001, Mt CO2
"Fishing",0,2002, Mt CO2
"Fishing",0,2003, Mt CO2
"Fishing",0,2004, Mt CO2
"Fishing",0,2005, Mt CO2
"Fishing",0,2006, Mt CO2
"Fishing",0,2007, Mt CO2
"Fishing",0,2008, Mt CO2
"Fishing",0,2009, Mt CO2
"Fishing",0,2010, Mt CO2
"Fishing",0,2011, Mt CO2
"Fishing",0,2012, Mt CO2
"Fishing",0,2013, Mt CO2
"Fishing",0,2014, Mt CO2
"Fishing",0,2015, Mt CO2
"Fishing",0,2016, Mt CO2
"Fishing",0,2017, Mt CO2
"Fishing",0.069,2018, Mt CO2
"Fishing",0.05,2019, Mt CO2
"Fishing",0.05,2020, Mt CO2
"Fishing",0.05,2021, Mt CO2
"Fishing",0.047,2022, Mt CO2
"Non-specified (Other)",10.327,2000, Mt CO2
"Non-specified (Other)",10.486,2001, Mt CO2
"Non-specified (Other)",10.535,2002, Mt CO2
"Non-specified (Other)",0.902,2003, Mt CO2
"Non-specified (Other)",0.841,2004, Mt CO2
"Non-specified (Other)",1.013,2005, Mt CO2
"Non-specified (Other)",0.784,2006, Mt CO2
"Non-specified (Other)",0.583,2007, Mt CO2
"Non-specified (Other)",0.523,2008, Mt CO2
"Non-specified (Other)",0.517,2009, Mt CO2
"Non-specified (Other)",0.53,2010, Mt CO2
"Non-specified (Other)",0.48,2011, Mt CO2
"Non-specified (Other)",0.468,2012, Mt CO2
"Non-specified (Other)",0.434,2013, Mt CO2
"Non-specified (Other)",0.381,2014, Mt CO2
"Non-specified (Other)",0.357,2015, Mt CO2
"Non-specified (Other)",0.32,2016, Mt CO2
"Non-specified (Other)",0.258,2017, Mt CO2
